	0	1	2	3	4	5	6	7	8	9
Phosphoserine	('Hyosophorin', 75)	('Hyosophorin', 75)	('Cholinephosphorylneogalabiaosylceramide', 69)	('Cholinephosphorylneogalatriaosylceramide', 69)	('Heparin', 64)	('Heparin', 64)	('Heparin', 64)	('Phlomisoside', 64)	('Heparin', 64)	('Heparin', 64)
Phosphoenolpyruvic acid	('Alginic acid', 86)	('Hyaluronic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Pectic acid', 86)	('Cytidylic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)
NADP(+)	('ADP', 86)	('ADP-glucose', 68)	('Isoliquiritin apioside', 68)	('III6P-Etn-Ap3-Cer', 68)	('III6P-Etn-Ap6-Cer', 68)	('III6P-Etn-Ap4-Cer', 68)	('III6P-Etn-Ap7-Cer', 68)	('Nadroparin Calcium', 68)	('GalNAcDSLc4', 68)	('Neocynapanoside A', 68)
Phosphoribosyl formamidocarboxamide	('Hyosophorin', 66)	('Hyosophorin', 66)	('sophorose', 60)	('Cholinephosphorylneogalabiaosylceramide', 57)	('GM3-amide', 57)	('Phospho-core M3', 57)	('Acarbose', 56)	('Cholinephosphorylneogalatriaosylceramide', 56)	('Cholinephosphorylmannosylneogalabiaosylceramide', 56)	('Dihydroacarbose', 54)
L-Glutamic acid	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('UDP-D-galacturonic acid', 86)	"(""SGL-I'"", 68)"	('SGL-I', 68)	('Alginic acid', 67)	('Alginic acid', 67)	('Alginic acid', 67)	('Alginic acid', 67)	('Alginic acid', 67)
L-Proline	('UDP-L-arabinose', 86)	('Bruceolline', 60)	('solanine', 59)	('Physodine B', 57)	('Providencia stuartii O47 O-antigen', 57)	('Subproside I', 54)	('Rutin', 54)	('polysialoglycoprotein', 53)	('polysialoglycoprotein', 53)	('Saponin Be', 53)
D-Sedoheptulose 7-phosphate	('Scillasaponin D', 86)	('Aldoligose D', 86)	('UDP-D-xylose', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('1,4-alpha-D-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Pharbitic acid D', 86)	('Ophiopogonin-D', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)
NAD	('Nadroparin Calcium', 90)	(nan, 67)	(nan, 67)	(nan, 67)	(nan, 67)	(nan, 67)	(nan, 67)	(nan, 67)	(nan, 67)	(nan, 67)
Palmitic acid	('LM', 90)	('UDP-D-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Alginic acid', 80)	('Alginic acid', 80)
Flavin Adenine Dinucleotide Reduced	"(""2'-FL"", 64)"	('Incanumine', 63)	('Junceoside', 63)	('LNneoT', 60)	('Leucoside', 60)	('Acteoside', 60)	('LA', 60)	('Sulfatide', 60)	('i-antigen', 60)	('Inulin', 60)
Oxoglutaric acid	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('XXol', 68)	('XGol', 68)	('Hyaluronic acid', 65)	('Polygalacturonic acid', 65)	('UDP-glucuronic acid', 63)	('GXG', 60)	('XG6', 60)	('LNT', 60)
gamma-Glutamylcysteine	('Amylopectin', 66)	('GL-2', 64)	('Amylose', 64)	('GL-3', 64)	('GL-5', 64)	('GL-4', 64)	('GL-1', 64)	('GM3', 60)	('GA1', 60)	('GM3', 60)
5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	('SSEA-4', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""Adenosine 5'-phosphate"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)
Oxalacetic acid	('LA', 90)	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('UDP-D-galacturonic acid', 86)	('Polygalacturonic acid', 72)	('Pectic acid', 69)	('Alginic acid', 67)	('Alginic acid', 67)	('Alginic acid', 67)	('Alginic acid', 67)
Glycine	('Gualamycin', 71)	('Core fucose of N-glycan', 69)	('Glycogen', 67)	('Glycolipid 2', 64)	('Dansyl-sialofetuin glycopeptide', 64)	('Neoglyco interleukin-1a', 64)	('Type IB glycolipid', 64)	('Lea glycolipid', 64)	('Glycolipid 3', 64)	('Nephritogenic glycopeptide', 64)
Oxygen	('Digoxigenin bisdigitoxoside', 75)	('GXG', 60)	('XG6', 60)	('XXG', 60)	('4-O-Methylglucuronoxylan', 60)	('Nephritogenic glycopeptide', 60)	('Nephritogenoside', 60)	('XLG', 60)	('deoxy-Gb3 neoglycolipid', 60)	('4-O-Methylglucuronoarabinoxylan', 60)
Cholesterol	('Chitotriitol', 61)	('Lex', 60)	('Orestearoside C', 59)	('Orestearoside', 58)	('Thornasteroside A', 58)	('Chacotriose', 55)	('Orestearoside D', 54)	('LST c', 54)	('LST b', 54)	('LST a', 54)
Fumaric acid	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Alginic acid', 67)	('Hyaluronic acid', 67)
Squalene	('Lex', 60)	('LNH', 60)	('LNT', 60)	('sLea', 50)	('Alginate', 50)	('Senegose', 50)	('Alginate', 50)	('Turanose', 50)	('Alginate', 50)	('Senegose', 50)
Ubiquinone-1	('1,1,1-kestopentaose', 86)	('1-fructosylnystose', 86)	('SSEA-1', 86)	('NodBj-V (C18:1,MeFuc)', 86)	('1,4-alpha-D-Glucan', 86)	('1-alpha-D-Galactosyl-D-myo-inositol', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)	('NodBj-V(C18:1,MeFuc)', 86)	('NodBj-V, C18:1 MeFuc, 61', 86)
Isopentenyl pyrophosphate	('Pentamannose phosphate', 64)	('Pectin', 60)	('Isopanose', 60)	('Dolichyl phosphate', 60)	('Dolichol phosphate', 60)	"(""Sucrose 6'-phosphate"", 58)"	('Sucrose 6F-phosphate', 58)	('Trehalose 6-phosphate', 57)	('Guanosine diphosphate', 57)	('P antigen', 57)
D-Ribose 5-phosphate	('Aldoligose D', 86)	('UDP-D-xylose', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('MS 5', 86)	('1-alpha-D-Galactosyl-D-myo-inositol', 86)	('1,6-alpha-D-Mannosyloligosaccharide', 86)	('beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol', 86)	('UDP-D-glucose', 86)
(2E)-Octenoyl-[acp]	('AC-4', 64)	('AC-1', 64)	('ADP', 60)	('CMP', 60)	('LST c', 54)	"(""2'-FucLac"", 54)"	"(""2'-FL"", 54)"	('LST a', 54)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 53)	"(""2'-Fucosyllactose"", 53)"
Phosphoribosylformylglycineamidine	('Hyosophorin', 66)	('Hyosophorin', 66)	('Incanumine', 63)	('Camellidin', 63)	('Glucan', 60)	('sophorose', 60)	('Amygdalin', 60)	('Mitrin', 60)	('Mitrin', 60)	('Glucan', 60)
Hydrogen carbonate	('Dihydroacarbose', 67)	('Dihydroacarbose', 67)	('HNK1 carbohydrate', 63)	('Hyaluronate', 62)	('LNT', 60)	('Raffuronate', 58)	('L2/HNK1 carbohydrate', 58)	(nan, 57)	(nan, 57)	(nan, 57)
L-Glutamine	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 66)	('UDP-N-acetyl-D-glucosamine', 66)	('UDP-N-acetylglucosamine', 66)	('beta-1,4-Poly-N-acetyl-D-glucosamine', 66)	('Aspartylglucosamine', 66)	('beta-1,4-Poly-D-glucosamine', 66)	('Lactosamines', 61)	('Glucan', 60)	('LAM', 60)	('Glucan', 60)
Phosphohydroxypyruvic acid	('Pharbitic acid D', 86)	('Alginic acid', 86)	('Pharbitic acid B', 86)	('Hyaluronic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Pectic acid', 86)	('Cytidylic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)
14-Demethyllanosterol	('LA-14-HP', 86)	('Panose', 75)	('Xylan', 72)	('Xylan', 72)	('Xylan', 72)	('Lactose', 64)	('DS 1', 64)	(nan, 60)	(nan, 60)	(nan, 60)
4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)	('Chondroitin 4-sulfate', 86)	('4-O-Methylglucuronoxylan', 86)	('Chondroitin 4-sulfate', 86)
Cytidine monophosphate	"(""Cytidine 5'-monophosphate"", 95)"	"(""Uridine 5'-diphosphate"", 68)"	"(""Adenosine 5'-phosphate"", 64)"	('Tetramannose phosphate', 64)	('Dolichyl D-mannosyl phosphate', 63)	"(""Lactose 6'-phosphate"", 62)"	('Uridine diphosphate glucose', 61)	('Guanosine diphosphate', 60)	('Dolichyl phosphate', 60)	('Dolichol phosphate', 60)
Tetradecanoyl-[acyl-carrier protein]	('Hep tetra', 67)	('Acetan', 60)	('Aescin', 60)	('LST c', 54)	('Rutin', 54)	('deca-VIM-2', 54)	('LST a', 54)	('Levantetraose', 53)	('Decaisoide A', 52)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 52)
Adenosine monophosphate	"(""Adenosine 5'-phosphate"", 84)"	('Guanosine diphosphate', 77)	"(""Cytidine 5'-monophosphate"", 75)"	"(""Guanosine 5'-diphosphate"", 72)"	('Adenosine diphosphoglucose', 69)	('Tetramannose phosphate', 67)	('Pentamannose phosphate', 67)	"(""Maltose 6'-phosphate"", 65)"	"(""Lactose 6'-phosphate"", 65)"	('Trehalose 6-phosphate', 64)
Tetrahydrofolic acid	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Pectic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('FGol', 68)	('Hyaluronic acid', 63)
 Acyl Carrier Protein	('Lc4', 60)	('Malt-Cer', 56)	('Licorice-saponin', 56)	('Licorice-saponin', 56)	('Desacyl-jego-saponin', 55)	('LST c', 54)	('Rutin', 54)	('LST a', 54)	('N-Acetyl heparosan', 53)	('Acetyl-gitoxin', 53)
Dihydroxyacetone phosphate	('Acetan', 75)	"(""Lactose 6'-phosphate"", 65)"	('Lactose', 64)	('Dolichyl phosphate', 64)	('Dolichol phosphate', 64)	"(""Adenosine 5'-phosphate"", 62)"	('Dolichyl D-glucosyl phosphate', 62)	('Dolichyl D-mannosyl phosphate', 62)	"(""Maltose 6'-phosphate"", 61)"	"(""Sucrose 6'-phosphate"", 61)"
dADP	('ADP', 86)	('ADP-glucose', 68)	('GDP', 57)	('UDP', 57)	('GD1a-KDN', 50)	('GD1a', 50)	('GD1a', 50)	('GD1a', 50)	('GD1a-KDN', 50)	('GD1a', 50)
(2E)-Hexadecenoyl-[acp]	('AC-4', 64)	('AC-1', 64)	('ADP', 60)	('Lex', 60)	('Acetan', 60)	('Aescin', 60)	('CMP', 60)	"(""2'-FL"", 54)"	('DWA-2', 51)	('DWA-2', 51)
L-Lactic acid	('LA', 90)	('UDP-D-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Pectic acid', 75)	('Cytidylic acid', 67)
QH2	('delta DiH-2,N,6triS', 60)	('P2', 45)	('alpha2-6 sialylated lactosamines', 40)	('GT2', 33)	('SB2', 33)	('LNH', 33)	('GM2', 33)	('GD2', 33)	('GQ1balpha', 33)	('PX2', 33)
Sedoheptulose 1,7-bisphosphate	('1,1,1-kestopentaose', 86)	('1-fructosylnystose', 86)	('SSEA-1', 86)	('NodBj-V (C18:1,MeFuc)', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('1-Kestose', 86)	('Diurnoside 1', 86)	('1,4-beta-D-Xylan', 86)
L-Cystine	('UDP-L-arabinose', 86)	"(""Cytidine 5'-monophosphate"", 67)"	('1F-b-fructofuranosyl nystose', 60)	('Lc4', 60)	('Pectin', 60)	('Chitin', 60)	('Chitin', 60)	('Chitin', 60)	('Glucopsychosine', 58)	('Desacylescin-I', 57)
Citric acid	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Pectic acid', 82)	('Cytidylic acid', 72)
4alpha-Methylzymosterol	('alpha-Methyldigoxin', 62)	('ADP', 60)	('LNH', 60)	('LAM', 60)	('GM1alpha', 56)	('GM2alpha', 56)	('PILAM', 54)	('1-alpha-D-Galactosyl-D-myo-inositol', 52)	('Neotrehalose', 52)	('Lycotetraose', 52)
3-phospho-D-glycerate	('Aldoligose D', 86)	('Zwitterionic glycosphingolipid 3', 86)	('UDP-D-xylose', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('1-alpha-D-Galactosyl-D-myo-inositol', 86)	('Ophiopogonin-D', 86)	('3-Ketosucrose', 86)	('Tenuifoliose D', 86)
Uridine 5'-monophosphate	"(""Cytidine 5'-monophosphate"", 90)"	"(""Uridine 5'-diphosphate"", 87)"	('MS 5', 86)	('Triploside 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	"(""Adenosine 5'-phosphate"", 74)"	"(""Guanosine 5'-diphosphate"", 71)"	"(""Sucrose 6'-phosphate"", 68)"	('Uridine diphosphate glucose', 67)
Uridine 5'-diphosphate	"(""Uridine 5'-diphosphate"", 100)"	('Uridine diphosphate glucose', 90)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 86)	('MS 5', 86)	('Triploside 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	"(""Guanosine 5'-diphosphate"", 83)"	"(""Adenosine 5'-phosphate"", 77)"	"(""Cytidine 5'-monophosphate"", 77)"
biomasss	('SSG', 60)	('Mannose-capped lipoarabinomannan', 56)	('Lipoarabinomannan', 56)	('Isomaltose', 56)	('Cosmasteroside B', 53)	('Isomaltulose', 50)	('Bemisiose', 47)	('Isopanose', 47)	('Melibiose', 47)	('galabiose', 47)
L-Carnitine	('Balanitin 3', 64)	('solanine', 63)	('Acarviosine-glucose', 62)	('Lanagitoside', 61)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)
Glycineamideribotide	('Eruboside B', 63)	('Cehrioside', 63)	('Ceramide dihexoside', 62)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)
Adenosine diphosphate	('Guanosine diphosphate', 90)	"(""Adenosine 5'-phosphate"", 88)"	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 86)	"(""Guanosine 5'-diphosphate"", 84)"	('Adenosine diphosphoglucose', 81)	"(""Uridine 5'-diphosphate"", 74)"	('Tetramannose phosphate', 70)	('Pentamannose phosphate', 70)	"(""Maltose 6'-phosphate"", 68)"	('Uridene diphosphate galactose', 68)
10-Formyltetrahydrofolate	('Ls-10; OJV-VI', 86)	('FGol', 68)	('Hyaluronate', 58)	('Malt-Cer', 56)	('GFGol', 54)	('Dextran', 51)	('Amylose', 51)	('Lactose', 51)	('Dextran', 51)	('Dextran', 51)
5Alpha-Cholesta-8,24-Dien-3-One	('MS 8', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('3-Ketosucrose', 86)	('alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GL-3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)
Uridine triphosphate	"(""Uridine 5'-diphosphate"", 86)"	('Uridine diphosphate glucose', 77)	('Guanosine diphosphate', 73)	('Uridene diphosphate galactose', 69)	"(""Guanosine 5'-diphosphate"", 68)"	"(""Adenosine 5'-phosphate"", 67)"	"(""Cytidine 5'-monophosphate"", 67)"	"(""Sucrose 6'-phosphate"", 65)"	('Sucrose 6F-phosphate', 65)	('Dolichyl phosphate', 63)
Desmosterol	('SM4s', 68)	('SM3', 60)	('Lactoneotetraosylceramide', 58)	('Lacto-N-neotetraosylceramide', 58)	('Tetraacylated phosphatidyl-myo-inositol dimannoside', 55)	('Phosphatidyl-myo-inositol dimannoside', 55)	('Triacylated phosphatidyl-myo-inositol dimannoside', 55)	('Triacylated phosphatidyl-myo-inositol hexamannoside', 55)	('Tetraacylated phosphatidyl-myo-inositol hexamannoside', 55)	('Isomaltotri-itol', 52)
D-3-Hydroxydodecanoyl-[acyl-carrier protein]	('Scillasaponin D', 86)	('Aldoligose D', 86)	('UDP-D-xylose', 86)	('1,4-alpha-D-Glucan', 86)	('UDP-N-acetyl-D-mannosamine', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Floribundasaponin D', 86)	('Pharbitic acid D', 86)	('Ophiopogonin-D', 86)	('1,4-beta-D-Xylan', 86)
Acetyl-CoA	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 86)	('UDP-N-acetyl-D-mannosamine', 86)	('Penta-acetyl-gitoxin', 86)	('Di-acetyl-lividomiosamide', 86)	('beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol', 86)	('UDP-N-acetyl-D-glucosamine', 86)	('beta-1,4-Poly-N-acetyl-D-glucosamine', 86)	('N-Acetyl-D-glucosaminyldiphosphodolichol', 86)	('N-Acetyl heparosan', 86)	('GM3 lyso de-N-acetyl', 86)
Xanthosine monophosphate	('Guanosine diphosphate', 76)	"(""Adenosine 5'-phosphate"", 74)"	"(""Cytidine 5'-monophosphate"", 73)"	"(""Guanosine 5'-diphosphate"", 71)"	"(""Maltose 6'-phosphate"", 68)"	"(""Lactose 6'-phosphate"", 68)"	('Trehalose 6-phosphate', 67)	('Tetramannose phosphate', 65)	('Pentamannose phosphate', 65)	('Xanthan', 64)
6-Phosphonoglucono-D-lactone	('Scillasaponin D', 86)	('Aldoligose D', 86)	('UDP-D-xylose', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	"(""6'-Sialyllactose"", 86)"	"(""6'-SL"", 86)"	('1,4-alpha-D-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Pharbitic acid D', 86)	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)
Orotidylic acid	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('UDP-D-galacturonic acid', 86)	('Cytidylic acid', 83)	('Pectic acid', 62)	('Lc4', 60)	('Hyaluronic acid', 60)	('Alginic acid', 59)	('Alginic acid', 59)	('Alginic acid', 59)
(S)-2,3-Epoxysqualene	('Sialyldi-Y-2', 86)	('Glycolipid 2', 86)	('GL-2', 86)	('Zwitterionic glycosphingolipid 3', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('IV3Gala,IV2Fuc,II3(NeuAc)2-Gg4-Cer', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('3-Ketosucrose', 86)
Carbamoyl phosphate	('Dolichyl D-glucosyl phosphate', 86)	('Dolichyl D-mannosyl phosphate', 86)	('Dolichyl phosphate', 70)	('Dolichol phosphate', 70)	('Tetramannose phosphate', 68)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 67)	"(""Sucrose 6'-phosphate"", 67)"	('Sucrose 6F-phosphate', 67)	('Trehalose 6-phosphate', 65)	('Pentamannose phosphate', 63)
L-Serine	('UDP-L-arabinose', 86)	('GDP-L-fucose', 86)	('a-Hederin', 59)	('Commersonine', 56)	('ManLAM, non-reducing termini', 56)	('ManLAM, non-reducing termini', 56)	('GD1b a-gal derivative; IV3(Gal)2a,II3(NeuAc)2-Gg4-Cer', 56)	('ManLAM, non-reducing termini', 56)	('ManLAM, non-reducing termini', 56)	('Solasonine', 56)
(R)-5-Diphosphomevalonate	('MS 5', 86)	('Triploside 5', 86)	('R-olig fragment', 86)	('Glycolipid 5', 86)	('GL-5', 86)	('Alginate', 72)	('Alginate', 72)	('Alginate', 72)	('Alginate', 72)	('Alginate', 72)
Glyceric acid 1,3-biphosphate	('1,1,1-kestopentaose', 86)	('1-fructosylnystose', 86)	('SSEA-1', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Pharbitic acid D', 86)	('1-Kestose', 86)	('Diurnoside 1', 86)	('1,4-beta-D-Xylan', 86)
4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol	('SSEA-4', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""Adenosine 5'-phosphate"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)
Urea	('Purpureaglycoside A', 90)	('Purpureaglycoside B', 90)	('Arenarioside, sugar core', 68)	('1F-b-fructofuranosyl nystose', 68)	('Isotrehalose', 68)	('Trehalose', 68)	('UDP-alpha-D-galactofuranose', 68)	('Trehalose 6-phosphate', 68)	('N-acetylneuramin-lactose', 68)	('Lividomycin A, partial structure', 68)
5alpha-Cholesta-7,24-dien-3beta-ol	('7-O-Acetyl-GD3', 86)	('7-O-Ac-GD3', 86)	('GT1aalpha', 67)	('delta-DiH-OS', 57)	('MS 7', 57)	('MS 7', 57)	('Chitosan', 56)	('GM1alpha', 56)	('GM2alpha', 56)	('Chitosan', 56)
(R)-5-Phosphomevalonate	('MS 5', 86)	('Triploside 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	('Alginate', 72)	('Alginate', 72)	('Alginate', 72)	('Alginate', 72)	('Alginate', 72)	('Alginate', 72)
3-Oxohexanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)	"(""3',8'-LD1"", 86)"	('3-Fucosyllactosamine', 86)
Zymosterol	('Lycotetraose', 55)	('Orestearoside D', 54)	('Globotetraosylceramide', 54)	('Orestearoside C', 54)	('Cosmasteroside B', 54)	('Cosmasteroside D', 54)	('Cosmasteroside C', 54)	('Thornasteroside A', 54)	('Kolomiktriose stigmastenol', 54)	('Lactoneotetraosylceramide', 54)
Hexanoyl-[acyl-carrier protein]	('Mannoprotein', 64)	('Mannoprotein', 64)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 55)	('Xylan', 54)	('LST c', 54)	('Xylan', 54)	('Rutin', 54)	('Xylan', 54)	('LST a', 54)	('Saponin', 51)
(2E)-Decenoyl-[acp]	('AC-4', 64)	('AC-1', 64)	('ADP', 60)	('CMP', 60)	('GM2-de-N-Ac', 57)	"(""2'-FucLac"", 54)"	"(""2'-FL"", 54)"	('Decaffeoyl acteoside', 54)	('LST a', 54)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 53)
Guanidoacetic acid	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Pectic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('RG-I', 64)
