	0	1	2	3	4	5	6	7	8	9
Oxidized glutathione	('Oxidized glutathione', 100)	('Glutathione', 90)	('[Oxidized NADPH---hemoprotein reductase]', 86)	('Glu-Glu', 86)	('S-[(Z)-N-Hydroxy(phenyl)acetimidoyl]-L-glutathione', 86)	('2-(Glutathione-S-yl)-hydroquinone', 86)	('Oxidized thiol-containing reductant', 86)	('Cytochrome P-450 oxidized form', 86)	('S-(2,4-Dinitrophenyl)glutathione', 86)	('Oxidized ferredoxin [iron-sulfur] cluster', 86)
3-Oxododecanoyl-[acyl-carrier protein]	('3-Oxododecanoyl-[acyl-carrier protein]', 100)	('3-Oxodecanoyl-[acyl-carrier protein]', 97)	('Acyl-[acyl-carrier protein]', 95)	('3-Oxooctanoyl-[acyl-carrier protein]', 94)	('Dodecanoyl-[acyl-carrier protein]', 93)	('3-Oxohexanoyl-[acyl-carrier protein]', 92)	('3-Oxohexadecanoyl-[acyl-carrier protein]', 92)	('3-Oxotetradecanoyl-[acyl-carrier protein]', 91)	('D-3-Hydroxydodecanoyl-[acyl-carrier protein]', 90)	('Protein', 90)
5-Aminoimidazole ribonucleotide	('Imidazole', 90)	('Nucleotide', 90)	('5-Aminoimidazole', 90)	('Aminoimidazole', 90)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]', 86)	('Cyanidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)', 86)	('1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(8-(2E,4Z-decadienoyloxy)-5,6-octadienoyl)-sn-glycerol', 86)	"(""1,2-Didodecanoyl-sn-glycero-3-cytidine-5'-diphosphate"", 86)"	('2-(4-Ethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one', 86)
dCDP	('dCDP', 100)	('P', 90)	('C', 90)	('CDP', 86)	('dTDP', 75)	('dUDP', 75)	('DCPA', 75)	('CDDP', 75)	('CDPC', 75)	('EDDP', 75)
Carbon dioxide	('Carbon dioxide', 100)	('Carbon dioxide reduction factor', 90)	('[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]', 90)	('Holo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]', 90)	('Biotin-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]', 90)	('Carbon', 90)	('[Propionyl-CoA:carbon-dioxide ligase (ADP-forming)]', 90)	('[Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)]', 90)	('Holo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]', 90)	('Biotin-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]', 90)
4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	('4-Oxovalproic acid', 86)	('4-Keto-VPA', 86)	('2,4-Diketo-3-deoxy-L-fuconate', 86)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('Ethyl (R)-3-hydroxyhexanoate', 86)	('Propane-1-ol', 86)	('Propan-1-ol', 86)	('3-Oxo-5beta-steroid', 86)	('3-O-sn-Phosphatidyl-L-serine', 86)	"(""4'-O-Demethylsordarin"", 86)"
Fructose 6-phosphate	('Amino-D-fructose 6-phosphate', 95)	('beta-D-Fructose 6-phosphate', 95)	('D-Fructose 6-phosphate', 95)	('Fructose', 90)	('Phosphate', 90)	('Fructose', 90)	('Fructose 1-phosphate(pyranose)', 90)	('D-Fructose 1-phosphate', 90)	('beta-D-Fructose 2-phosphate', 90)	('Aminofructose 6-phosphate', 89)
3-Hydroxy-3-methylglutaryl-CoA	('3-Hydroxy-3-methylglutaryl-CoA', 100)	('(S)-3-Hydroxy-3-methylglutaryl-CoA', 95)	('Hydroxymethylglutaryl-CoA', 91)	('Glutaryl-CoA', 90)	('3-Hydroxy-3-methylglutarate', 88)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('3-Ethynyl-5alpha-androstane-3beta,17beta-diol', 86)	('6alpha,9-Difluoro-11beta-hydroxypregn-4-ene-3,20-dione', 86)	('Cyanidin 3-O-(2-O-beta-D-glucuronosyl)-beta-D-glucoside', 86)	('3-Oxo-5beta-steroid', 86)
4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	('4-Oxovalproic acid', 86)	('4-Keto-VPA', 86)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('Propane-1-ol', 86)	('Propan-1-ol', 86)	('3-Oxo-5beta-steroid', 86)	"(""4'-O-Demethylsordarin"", 86)"	('4-Chlorotoluene', 86)	"(""(9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid"", 86)"	('8-Methyl-IQX', 86)
Phosphoserine	('L-O-Phosphoserine', 95)	('3-Phosphoserine', 95)	('D-O-Phosphoserine', 95)	('1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine', 90)	('Glycerophosphoserine', 90)	('1-Acyl-sn-glycero-3-phosphoserine', 90)	('2-Acyl-sn-glycero-3-phosphoserine', 90)	('Tropomyosin phosphoserine', 90)	('Serine', 90)	('HO-', 90)
Phosphoenolpyruvic acid	('Phosphoenolpyruvic acid', 100)	('Acid', 90)	('Pyruvic acid', 90)	('Trimethylcolchicinic acid methyl ether', 86)	('Malonic acid', 86)	('(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid ethyl ester', 86)	"(""(9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid"", 86)"	('Alendronic acid', 86)	('(4-Amino-1-hydroxybutylidene)bisphosphonic acid', 86)	('Acid Red 26', 86)
NADP(+)	('NADP+', 100)	('NADP', 100)	('Isonicotinoyl-NADP adduct', 90)	('INH-NADP adduct', 90)	('[Isocitrate dehydrogenase (NADP+)]', 90)	('P', 90)	('alpha-NADPH', 90)	('Na+', 90)	('A', 90)	('(R)-NADPH-hydrate', 90)
Phosphoribosyl formamidocarboxamide	('Amide', 90)	"(""1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole"", 86)"	"(""1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole"", 86)"	"(""5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole"", 86)"	('5-[(5-Phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide', 86)	"(""1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide"", 86)"	('5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide', 86)	('5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide', 86)	"(""N-(5'-Phosphoribosylformimino)-5-amino-1-(5''-phosphoribosyl)-4-imidazolecarboxamide"", 86)"	('1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide', 86)
L-Glutamic acid	('L-Glutamic acid', 100)	('L-Glutaminic acid', 94)	('D-Glutamic acid', 93)	('L-alpha-Glutamyl-L-glutamic acid', 90)	('N-Methyl-L-glutamic acid', 90)	('Acid', 90)	('N-Acetyl-L-glutamic acid', 90)	('N-[(S)-5-Amino-5-carboxypentyl]-L-glutamic acid', 90)	('4-Hydroxy-L-glutamic acid', 90)	('3-Hydroxy-L-glutamic acid', 90)
L-Proline	('L-Proline', 100)	('Proline', 95)	('Procollagen L-proline', 90)	('[Procollagen]-L-proline', 90)	('4-Hydroxy-1-nitroso-L-proline', 90)	('4-Oxo-L-proline', 90)	('5-Oxo-L-proline', 90)	('N-Methyl-L-proline', 90)	('L-Proline betaine', 90)	('cis-3-Hydroxy-L-proline', 90)
D-Sedoheptulose 7-phosphate	('D-Sedoheptulose 7-phosphate', 100)	('Sedoheptulose 7-phosphate', 96)	('Sedoheptulose 1-phosphate', 92)	('D-Sedoheptulose 1,7-bisphosphate', 92)	('Phosphate', 90)	('Sedoheptulose', 90)	('D-Sedoheptulose', 90)	('Sedoheptulose 1,7-bisphosphate', 88)	('Tubulysin D', 86)	('D-Proline betaine', 86)
NAD	('NAD+', 100)	('NAD', 100)	('Nonadecanoic acid', 90)	('Nonadecylic acid', 90)	('Chorionic gonadotropin', 90)	('Gonadoliberin-II', 90)	('INH-NADP adduct', 90)	('Phytonadione', 90)	('Gentianadine', 90)	('alpha-NADH', 90)
Palmitic acid	('Palmitic acid', 100)	('16-Fluoropalmitic acid', 90)	('16-Hydroxypalmitic acid', 90)	('Acid', 90)	('16-Feruloyloxypalmitic acid', 90)	('3-Hydroxy-palmitic acid methyl ester', 90)	('9-Chloro-10-hydroxypalmitic acid', 90)	('Al', 90)	('Palmitoleic acid', 90)	('Trimethylcolchicinic acid methyl ether', 86)
Flavin Adenine Dinucleotide Reduced	('Flavin adenine dinucleotide', 95)	('Nucleotide', 90)	('Adenine', 90)	('Dinucleotide', 90)	('Flavin', 90)	('Reduced coenzyme F420', 86)	('Reduced trypanothione', 86)	('Reduced coenzyme M', 86)	('Reduced azurin', 86)	('DNA adenine', 86)
Oxoglutaric acid	('Oxoglutaric acid', 100)	('4-Hydroxy-2-oxoglutaric acid', 90)	('Glutaric acid', 90)	('Acid', 90)	('RI', 90)	('2-Oxoglutaramic acid', 89)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid ethyl ester', 86)	"(""(9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid"", 86)"
gamma-Glutamylcysteine	('gamma-Glutamylcysteine', 100)	('L-gamma-Glutamylcysteine', 96)	('(gamma-Glutamylcysteine)n-glycine', 95)	('Oxidized gamma-glutamylcysteine', 95)	('MMA', 90)	('gamma-L-Glutamyl-L-cysteine', 90)	('Poly(gamma-glutamylcysteine)glycine', 90)	('Cysteine', 90)	('Bis-gamma-glutamylcystine', 89)	('gamma-(Hydroxymethylphosphinyl)-L-alpha-aminobutyryl-L-alanyl-L-alanine', 86)
5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	"(""5'-Phosphoribosyl-4-carboxy-5-aminoimidazole"", 100)"	"(""1-(5'-Phosphoribosyl)-4-carboxy-5-aminoimidazole"", 96)"	"(""5'-Phosphoribosyl-5-aminoimidazole"", 95)"	('5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole', 94)	"(""1-(5'-Phosphoribosyl)-5-aminoimidazole"", 92)"	('Imidazole', 90)	('5-Aminoimidazole', 90)	('Aminoimidazole', 90)	"(""5'-Phosphoribosyl-5-amino-4-imidazolecarboxylate"", 88)"	('4-Oxovalproic acid', 86)
Oxalacetic acid	('Oxalacetic acid', 100)	('Oxaloacetic acid', 97)	('Acid', 90)	('Al', 90)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('Oleic acid methyl ester', 86)	('D-2-Aminopentanoic acid', 86)	('p-Coumaroyl quinic acid', 86)	('(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid ethyl ester', 86)
Glycine	('Glycine', 100)	('Glycine cleavage system H', 90)	('[Glycine cleavage system H]-L-lysine', 90)	('N,N-Dimethylglycine', 90)	('Dimethylglycine', 90)	('(L-Cysteinylglycine-S-yl)(1H-indol-3-yl)acetonitrile', 90)	('N-Benzyloxycarbonylglycine', 90)	('N-CBZ-glycine', 90)	('Glycine anhydride', 90)	('L-Propargylglycine', 90)
Oxygen	('Oxygen', 100)	"(""2'-Hydroxygenistein"", 90)"	('Phospho-[tyrosine-3-monoxygenase]', 90)	('e-', 90)	('10-Deoxygeniposide tetraacetate', 90)	"(""3''-Amino-3''-deoxygentamicin A2"", 90)"	('10-Deoxygeniposidic acid', 90)	('[Tyrosine-3-monoxygenase]', 90)	('2-Acetoxybenzenecarboxylic acid', 75)	('2-Chloro-1-hydroxybenzene', 75)
Cholesterol	('Cholesterol', 100)	('Cholestenol', 91)	('Cholesterol sulfate', 90)	('24-Methylenecholesterol', 90)	('20alpha,22beta-Dihydroxycholesterol', 90)	('(22R)-20alpha,22-Dihydroxycholesterol', 90)	('22(R)-Hydroxycholesterol', 90)	('(22R)-22-Hydroxycholesterol', 90)	('22beta-Hydroxycholesterol', 90)	('Cholesterol-5alpha,6alpha-epoxide', 90)
Fumaric acid	('Fumaric acid', 100)	('Fusaric acid', 92)	('Methylfumaric acid', 90)	('Acid', 90)	('Dihydroxyfumaric acid', 90)	('RI', 90)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('4-Oxovalproic acid', 86)	('Aromatic amino acid', 86)
Squalene	('Squalene', 100)	('Q', 90)	('S', 90)	('Presqualene diphosphate', 90)	('Dehydrosqualene', 90)	('A', 90)	('e-', 90)	('3-Methyl-1,2-didehydro-2,3-dihydrosqualene', 90)	('Hydroxysqualene', 90)	('12-Hydroxysqualene', 90)
Ubiquinone-1	('Ubiquinone-10', 96)	('Ubiquinone', 95)	('Ubiquinone-8', 92)	('Ubiquinone-9', 92)	('Ubiquinone-6', 92)	('Quinone', 90)	('Quinone', 90)	('IQ', 90)	('NO', 90)	('Ubiquinone-45', 88)
Isopentenyl pyrophosphate	('Isopentenyl phosphate', 91)	('Polyisopentenylpyrophosphate', 91)	('Pyrophosphate', 90)	('Phosphate', 90)	('Isopentenyl diphosphate', 88)	('Isopentenyl-ADP', 86)	"(""N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate"", 86)"	('Isopentenyl-AMP', 86)	('all-trans-Geranylgeranyl pyrophosphate', 86)	('1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-pyrophosphate', 86)
D-Ribose 5-phosphate	('D-Ribose 5-phosphate', 100)	('alpha-D-Ribose 5-phosphate', 95)	('D-Ribose 5-diphosphate', 95)	('Ribose 5-phosphate', 95)	('2-Deoxy-D-ribose 5-phosphate', 95)	('D-Ribulose 5-phosphate', 95)	('D-Ribose 1-phosphate', 95)	('D-Ribose 5-triphosphate', 93)	('2-Deoxy-D-ribose 1-phosphate', 90)	('L-Ribulose 5-phosphate', 90)
(2E)-Octenoyl-[acp]	('(2E)-Octenoyl-[acp]', 100)	('ACP', 90)	('(2E)-Dodecenoyl-[acp]', 89)	('(2E)-Octadecenoyl-[acp]', 89)	('(2E)-Decenoyl-[acp]', 88)	('9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]', 86)	('S-(2E,6E)-Farnesyl-L-cysteine', 86)	('1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(8-(2E,4Z-decadienoyloxy)-5,6-octadienoyl)-sn-glycerol', 86)	('(2E)-5-[(1R,2S,4aS,8aS)-1,2,4a,5-Tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-en-1-yl diposphate', 86)	('(2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate', 86)
Phosphoribosylformylglycineamidine	"(""5'-Phosphoribosylformylglycinamidine"", 94)"	('Glycine', 90)	('Amidine', 90)	"(""5'-Phosphoribosyl-N-formylglycinamidine"", 90)"	"(""5'-Phosphoribosyl-N-formylglycinamide"", 87)"	"(""1-(5'-Phosphoribosyl)-N-formylglycinamidine"", 86)"	('Crinamidine', 82)	"(""5'-Phosphoribosylglycinamide"", 81)"	('Samidin', 77)	('Phorbol', 77)
Hydrogen carbonate	('Hydrogen carbonate', 100)	('Hydrogencarbonate', 97)	('Dihydrogen carbonate', 95)	('Carbon', 90)	('Hydrogen', 90)	('NAT', 90)	('Butoctamide hydrogen succinate', 86)	"(""Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate"", 86)"	('Precipitated calcium carbonate', 86)	('21-Hydroxypregn-4-ene-3,20-dione hydrogen succinate', 86)
L-Glutamine	('L-Glutamine', 100)	('Glutamine', 95)	('D-Glutamine', 91)	('N-(17-Hydroxylinolenoyl)-L-glutamine', 90)	('4-Methylene-L-glutamine', 90)	('Amine', 90)	('N(5)-(1-Hydroxycyclopropyl)-L-glutamine', 90)	('alpha-N-Phenylacetyl-L-glutamine', 90)	('N2-(2-Phenylacetyl)-L-glutamine', 90)	('(5-L-Glutamyl)-L-glutamine', 90)
Phosphohydroxypyruvic acid	('3-Phosphohydroxypyruvic acid', 96)	('Acid', 90)	('Pyruvic acid', 90)	('Gibberellic acid', 86)	('Malonic acid', 86)	('Propanedioic acid', 86)	('(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid ethyl ester', 86)	('Etherolenic acid', 86)	"(""(9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid"", 86)"	('Alendronic acid', 86)
14-Demethyllanosterol	('14-Demethyllanosterol', 100)	('Lanosterol', 90)	('Sterol', 90)	('14-Hydroxyandrosta-1,4-diene-3,17-dione', 86)	('(6E,10E,14E)-7,11,15,19-Tetramethyl-3-methyleneicosa-1,6,10,14,18-pentaene', 86)	('8,14-Secogammacera-8(26),14(27)-diene-3beta,21alpha-diol', 86)	('8,14-Secooleana-7,13-diene-3beta-ol', 86)	('(11Z,14Z)-Icosa-11,14-dienoic acid', 86)	('(11Z,14Z)-Eicosa-11,14-dienoic acid', 86)	('Aconitane-7,8-diol, 4-(((2-((4-amino-1,4-dioxobutyl)amino)benzoyl)oxy)methyl)-20-ethyl-1,6,14,16-tetramethoxy-, (1alpha,6beta,14alpha,16beta)-', 86)
4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	('4,4-Dimethyl-5alpha-cholesta-8,24-dien-3beta-ol', 95)	('5alpha-Cholesta-8,24-dien-3beta-ol', 90)	"(""4,4',14alpha-Trimethyl-5alpha-cholesta-8,24-dien-3beta-ol"", 87)"	('5alpha-Cholesta-7,24-dien-3beta-ol', 87)	('2-n-Propyl-4-oxopentanoic acid', 86)	('4-Oxovalproic acid', 86)	('4-Keto-VPA', 86)	('2,4-Diketo-3-deoxy-L-fuconate', 86)	('2,4-Diketo-3-deoxy-L-rhamnonate', 86)	('2,4-Didehydro-3-deoxy-L-rhamnonate', 86)
Cytidine monophosphate	"(""Cytidine-5'-monophosphate"", 95)"	"(""Cytidine 2'-monophosphate"", 95)"	('NOP', 90)	('Deoxycytidine monophosphate', 90)	('Phosphate', 90)	('Cytidine', 90)	('Thymidine monophosphate', 89)	('Uridine monophosphate', 88)	"(""1,2-Didodecanoyl-sn-glycero-3-cytidine-5'-diphosphate"", 86)"	"(""4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol"", 86)"
Tetradecanoyl-[acyl-carrier protein]	('Tetradecanoyl-[acyl-carrier protein]', 100)	('Acyl-[acyl-carrier protein]', 95)	('Hexadecanoyl-[acyl-carrier protein]', 93)	('3-Oxotetradecanoyl-[acyl-carrier protein]', 93)	('Octadecanoyl-[acyl-carrier protein]', 93)	('Decanoyl-[acyl-carrier protein]', 92)	('Octadecenoyl-[acyl-carrier protein]', 90)	('Protein', 90)	('Dodecanoyl-[acyl-carrier protein]', 90)	('Hexadecenoyl-[acyl-carrier protein]', 90)
Adenosine monophosphate	"(""Adenosine-2'-monophosphate"", 95)"	"(""3'-Adenosine monophosphate"", 95)"	"(""Adenosine-3'-monophosphate"", 95)"	"(""Adenosine 5'-monophosphate"", 95)"	"(""5'-Adenosine monophosphate"", 95)"	('Propionyl-adenosine monophosphate', 95)	('Inosine monophosphate', 91)	('Guanosine monophosphate', 91)	('Deoxyadenosine monophosphate', 90)	('Adenosine', 90)
Tetrahydrofolic acid	('Tetrahydrofolic acid', 100)	('(6S)-Tetrahydrofolic acid', 95)	('L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid', 90)	('Acid', 90)	('Folic acid', 90)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('Malonic acid', 86)	('(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid ethyl ester', 86)	"(""(9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid"", 86)"
 Acyl Carrier Protein	('Acyl-carrier protein', 100)	('[Acyl-carrier protein]', 100)	('Lipoyl-[acyl carrier protein]', 95)	('Acetyl-[acyl-carrier protein]', 95)	('Pimelyl-[acyl-carrier protein]', 95)	('Malonyl-[acyl-carrier protein]', 95)	('Oleoyl-[acyl-carrier protein]', 95)	('Apo-[acyl-carrier-protein]', 95)	('Lauroyl-[acyl-carrier protein]', 95)	('Acyl-[acyl-carrier protein]', 95)
Dihydroxyacetone phosphate	('Dihydroxyacetone phosphate', 100)	('Hydroxyacetone phosphate', 96)	('Dihydroxyacetone phosphate alkyl ether', 95)	('Dihydroxyacetone phosphate acyl ester', 95)	('Hydroxyacetone', 90)	('Dihydroxyacetone', 90)	('Phosphate', 90)	('Acetone', 90)	('1-Archaetidyl-1D-myo-inositol 3-phosphate', 86)	('1-Saturated archaetidyl-1D-myo-inositol 3-phosphate', 86)
dADP	('dADP', 100)	('P', 90)	('A', 90)	('ADP', 86)	('DAPA', 75)	('DAPA', 75)	('dTDP', 75)	('dUDP', 75)	('dAMP', 75)	('dCDP', 75)
(2E)-Hexadecenoyl-[acp]	('(2E)-Hexadecenoyl-[acp]', 100)	('ACP', 90)	('(2E)-Hexenoyl-[acp]', 89)	('(2E)-Decenoyl-[acp]', 89)	('(2E)-Hexadecenoyl-CoA', 88)	('(2E)-Tetradecenoyl-[acp]', 88)	('Octanoyl-[acp]', 86)	('Hexanoyl-[acp]', 86)	('9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]', 86)	('1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(8-(2E,4Z-decadienoyloxy)-5,6-octadienoyl)-sn-glycerol', 86)
L-Lactic acid	('L-Lactic acid', 100)	('Lactic acid', 95)	('D-Lactic acid', 92)	('Acid', 90)	('L-Galactonic acid', 87)	('L-N-Hydroxypolyhomomethionine', 86)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('2,4-Diketo-3-deoxy-L-fuconate', 86)	('2,4-Diketo-3-deoxy-L-rhamnonate', 86)
QH2	('QH2', 100)	('Q', 90)	('H+', 90)	('PQQH2', 90)	('CoQH2', 90)	('H2', 90)	('H2S', 67)	('AH2', 67)	('H2O', 67)	('Hg2+', 67)
Sedoheptulose 1,7-bisphosphate	('Sedoheptulose 1,7-bisphosphate', 100)	('D-Sedoheptulose 1,7-bisphosphate', 97)	('Sedoheptulose 7-phosphate', 91)	('Sedoheptulose 1-phosphate', 91)	('Phosphate', 90)	('Sedoheptulose', 90)	('D-Sedoheptulose 7-phosphate', 88)	('Propane-1-ol', 86)	('1-Propanol', 86)	('Propan-1-ol', 86)
L-Cystine	('L-Cystine', 100)	('Cystine', 95)	('L-Cysteine', 95)	('Bis-gamma-L-glutamyl-L-cystine', 90)	('L-N-Hydroxypolyhomomethionine', 86)	('2,4-Diketo-3-deoxy-L-fuconate', 86)	('2,4-Diketo-3-deoxy-L-rhamnonate', 86)	('2,4-Didehydro-3-deoxy-L-rhamnonate', 86)	('Aromatic L-amino acid', 86)	('O-Succinyl-L-homoserine', 86)
Citric acid	('Citric acid', 100)	('Nitric acid', 91)	('Citric acid monohydrate', 90)	('D-threo-Isocitric acid', 90)	('Acid', 90)	('Methylisocitric acid', 90)	('RI', 90)	('D-erythro-Isocitric acid', 90)	('Isocitric acid', 88)	('Trimethylcolchicinic acid methyl ether', 86)
4alpha-Methylzymosterol	('4alpha-Methylzymosterol', 100)	('Zymosterol', 90)	('4alpha-Methylzymosterol-4-carboxylate', 90)	('Sterol', 90)	('4alpha-Methylfecosterol', 87)	('4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol', 86)	('ent-Apigeniflavan-(2alpha->7,4alpha->8)-epiafzelechin', 86)	('4alpha,14alpha-Dimethyl-5alpha-ergosta-8,24(28)-dien-3beta-ol', 86)	('4alpha,14alpha-Dimethyl-24-methylene-5alpha-cholesta-8-en-3beta-ol', 86)	('4alpha-Methyl-5alpha-cholesta-7-en-3beta-ol', 86)
3-phospho-D-glycerate	('3-Phospho-D-glycerate', 100)	('2-Phospho-D-glycerate', 95)	('3-Phosphoglycerate', 92)	('3-Phosphoglycerate', 92)	('3-Phospho-(R)-glycerate', 91)	('2,3-Diphospho-D-glycerate', 91)	('2-O-(alpha-D-Glucopyranosyl)-3-phospho-D-glycerate', 90)	('Gly', 90)	('D-Glycerate', 90)	('Glycerate', 90)
Uridine 5'-monophosphate	"(""Uridine 5'-monophosphate"", 100)"	"(""Uridine 3'-monophosphate"", 96)"	('Uridine monophosphate', 95)	"(""Cytidine-5'-monophosphate"", 90)"	('NOP', 90)	('Phosphate', 90)	('Uridine', 90)	"(""Inosine 5'-monophosphate"", 88)"	"(""Uridine 5'-diphosphate"", 87)"	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)
Uridine 5'-diphosphate	"(""Uridine 5'-diphosphate"", 100)"	"(""Uridine 5'-triphosphate"", 93)"	('Uridine diphosphate glucose', 90)	('Diphosphate', 90)	"(""Uridine 3'-phosphate"", 90)"	('Phosphate', 90)	"(""Uridine 2'-phosphate"", 90)"	('Uridine', 90)	"(""Cytidine 5'-diphosphate"", 89)"	"(""Uridine 5'-monophosphate"", 87)"
biomasss	('S', 90)	('B', 90)	('A', 90)	('As', 90)	('I-', 90)	('Mas8', 68)	('Mas7', 68)	('ANS', 60)	('CoM', 60)	('DBI', 60)
L-Carnitine	('L-Carnitine', 100)	('Carnitine', 95)	('D-Carnitine', 91)	('O-Acetyl-L-carnitine', 90)	('O-Isovaleryl-L-carnitine', 90)	('O-Decanoyl-L-carnitine', 90)	('(S)-Carnitine', 87)	('(R)-Carnitine', 87)	('L-N-Hydroxypolyhomomethionine', 86)	('2,4-Diketo-3-deoxy-L-fuconate', 86)
Glycineamideribotide	('Glycine', 90)	('Gly', 90)	('Amide', 90)	('Glycinamide ribonucleotide', 83)	('Neamine', 77)	('Glycan', 75)	('Lysine', 75)	('Cobinamide', 72)	('Imide', 72)	('Amine', 72)
Adenosine diphosphate	"(""Adenosine 5'-diphosphate"", 95)"	('Adenosine diphosphate ribose', 95)	('Adenosine', 90)	('Diphosphate', 90)	('Phosphate', 90)	('Inosine diphosphate', 90)	('Guanosine diphosphate', 90)	"(""Adenosine 2'-phosphate"", 88)"	"(""Adenosine 3'-phosphate"", 88)"	"(""Adenosine 5'-phosphate"", 88)"
10-Formyltetrahydrofolate	('10-Formyltetrahydrofolate', 100)	('5-Formyltetrahydrofolate', 94)	('Folate', 90)	('Tetrahydrofolate', 90)	('3-Hydroxy-1-methylestra-1,3,5(10),6-tetraen-17-one', 86)	('9,10-Seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid', 86)	('9,10-Seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoate', 86)	('17beta-Hydroxy-3-methoxyestra-1,3,5(10)-triene-17-carbonitrile', 86)	('(4R,12R,20R,28R)-4,12,20,28-Tetrahydroxy-2,10,18,26-tritriacontanetetrone', 86)	('(6E,10E,14E)-7,11,15,19-Tetramethyl-3-methyleneicosa-1,6,10,14,18-pentaene', 86)
