	0	1	2	3	4	5	6	7	8	9
Inosinic acid	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('8-demethylnovobiocic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)	('ulvanobiouronic acid 3-sulfate B', 86)
dGDP	('dGDP', 100)	('8-oxo-dGDP', 90)	('GDP', 86)	('dTDP', 75)	('dCDP', 75)	('dUDP', 75)	('dADP', 75)	('dGMP', 75)	('dIDP', 75)	('dGTP', 75)
Dihydrofolic acid	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('monic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)	('ulvanobiouronic acid 3-sulfate B', 86)	('colanic acid repeating unit', 86)	('dihydroartemisinic acid hydroperoxide', 86)	('tannic acid', 86)	('domoic acid', 86)
D-3-Hydroxyhexanoyl-[acyl-carrier protein]	('D-threo-isocitrate', 86)	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('3-hydroxy-5-oxohexanoyl-CoA', 86)	('7-&alpha;-D-ribosyladenine', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)
L-Arginine	('L-arginine', 100)	('benzoyl-L-arginine', 90)	('L-4-hydroxyphenylglycine-L-arginine', 90)	('D-arginine', 90)	('N-nitro-L-arginine', 90)	('L-N<sup>6</sup>-methyl-L-arginine', 90)	('N<sup>6</sup>,N<sup>6</sup>-dimethyl-L-arginine', 90)	('4,5-dehydro-L-arginine', 90)	('(3R)-N-acetyl-3-hydroxy-L-arginine', 90)	('N<sup>&omega;</sup>-hydroxy-L-arginine', 90)
Mevalonic acid	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('8-demethylnovobiocic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)	('ulvanobiouronic acid 3-sulfate B', 86)
Phosphoribosyl pyrophosphate	('phosphate', 90)	('p-(bromoacetamido)phenyl uridyl pyrophosphate', 86)	"(""5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole"", 86)"	('4-amino-2-trifluoromethyl 5-hydroxymethylpyrimidine pyrophosphate', 86)	('phosphite', 80)	('phosphane', 80)	('triphosphate', 75)	('polyprenylpyrophosphate', 75)	('diphosphate', 74)	('phosphonate', 74)
Hydrogen peroxide	('hydrogen peroxide', 100)	('hydrogen acetylphosphonate', 86)	('hydrogen (1S)-1-[(2S)-2-amino-4-methylpentanamido]ethylphosphonate', 86)	('hydrogen ethanimidoylphosphonate', 86)	('dipotassium hydrogen phosphate', 86)	('diammonium hydrogen phosphate', 86)	('mono-methyl hydrogen succinate', 86)	('hydrogen bromide', 85)	('hydrogen selenide', 76)	('hydrogen cyanide', 73)
5'-Phosphoribosyl-N-formylglycinamide	('glycinamide', 90)	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)
dUDP	('dUDP', 100)	('UDP', 86)	('dUMP', 75)	('dTDP', 75)	('dUTP', 75)	('dCDP', 75)	('dGDP', 75)	('dADP', 75)	('dIDP', 75)	('UDP-N-acetylbacillosamine', 68)
7-Dehydrodesmosterol	('7-dehydrodesmosterol', 100)	('desmosterol', 90)	"(""kaempferol 7-O-&beta;-D-(6''-O-malonyl)-glucoside"", 86)"	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('(1S,15R,16S)-4-methoxy-9-azatetracyclo[7.6.1.0<sup>2</sup>,<sup>7</sup>.0<sup>12</sup>,<sup>16</sup>]hexadeca-2,4,6,12-tetraene-5,15-diol', 86)	"(""3,7,3',5'-tetramethylmyricetin"", 86)"	('6-[3-hydroxy-2-(3,5,7-trioxononanoyl)phenyl]-3,5-dioxohexanoate', 86)	"(""(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate"", 86)"	('5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-&beta;-L-manno-nonulosonate', 86)
Coenzyme A	('coenzyme A', 100)	('coenzyme B', 90)	('coenzyme M', 90)	('a coenzyme-A group', 90)	('core oligosaccharide-lipid A (E. coli K-12 core type)', 86)	('pseudolaric acid A', 86)	('core oligosaccharide-lipid A (Salmonella arizonae)', 86)	('core oligosaccharide-lipid A (E. coli R4 core type)', 86)	('core oligosaccharide-lipid A (E. coli R1 core type)', 86)	('hepta-acylated Kdo<sub>2</sub> lipid A (E. coli)', 86)
Fructose 1,6-bisphosphate	('&beta;-D-fructose 1,6-bisphosphate', 95)	('&beta;-D-fructose 2,6-bisphosphate', 91)	('phosphate', 90)	('(2S)-2-{[1-(R)-carboxyethyl]amino}pentanoate', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	"(""kaempferol 7-O-&beta;-D-(6''-O-malonyl)-glucoside"", 86)"	('1-dotriacontanol', 86)
Flavin Adenine Dinucleotide Oxidized	('adenine', 90)	('oxidized krill luciferin', 86)	('oxidized coenzyme F430', 86)	('sideretin (oxidized form)', 86)	('adenine-ring', 86)	('oxidized dithiothreitol', 86)	('oxidized DCPIP', 86)	('oxidized factor 420-1', 86)	('oxidized factor 420-3', 86)	('oxidized factor 420-6', 86)
Dodecanoyl-[acyl-carrier protein]	('1-hexadecanoyl-2-{12-[(7-nitro-2,1,3-benzoxadiazol-4-yl)amino]dodecanoyl}-sn-glycero-3-phosphocholine', 86)	('tetra-acyl estolide', 86)	('tri-acyl estolide', 86)	"(""3-dodecanoyl-3'-isobutanoyl-4-(3-methylbutanoyl)sucrose"", 86)"	"(""2-acetyl-3'-dodecanoyl-3-(2-methylbutanoyl)-4-(3-methylbutanoyl)sucrose"", 86)"	"(""3,5,3'-triiodo-L-thyronine acyl &beta;-D-glucuronide"", 86)"	('des-acyl avenacin A', 86)	"(""2-acetyl-3-dodecanoyl-3',4-di(3-methylbutanoyl)sucrose"", 86)"	"(""3'-acetyl-3-dodecanoyl-4-(3-methylbutanoyl)sucrose"", 86)"	"(""3'-dodecanoyl-3-(2-methylbutanoyl)-4-(3-methylbutanoyl)sucrose"", 86)"
3-Oxodecanoyl-[acyl-carrier protein]	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('N-[(3R)-8-[(2E)-but-2-enoyl]-6-(5,6-dihydropyridin-2-yl)-2-oxo-4,8-dihydro-3H-1,5-oxathiocin-3-yl]acetamide', 86)
3-Keto-4-methylzymosterol	('zymosterol', 90)	('3-dehydro-4-methylzymosterol', 87)	('(R)-3,4-dihydroxymandelonitrile &beta;-D-glucoside', 86)	('2-amino-3-[(2,5-dihydroxyphenyl)sulfanyl]propanoate', 86)	('(Z)-N-hydroxy-2-(4-hydroxyphenyl)acetimidothioate', 86)	('(2Z,3Z)-deca-2,3-dienoyl-N-acetylcysteamine', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)
Ammonia	('ammonia', 100)	('ammonium', 80)	('dodecyltrimethylammonium', 77)	('4-trimethylammoniobutanal', 77)	('cetyltrimethylammonium', 77)	('tetraethylammonium', 77)	('cetyldimethlethylammonium', 77)	('dimethyldioctadecylammonium', 77)	('tetrakis(3-aminopropyl)ammonium', 77)	('&beta;-D-galactopyranosyl trimethylammonium bromide', 77)
Oxidized glutathione	('glutathione', 90)	('2,4-dinitrophenyl-S-glutathione', 86)	('CoA-glutathione mixed disulfide', 86)	('indol-3-ylmethylisothiocyanate-glutathione', 86)	('3-benzyl-3,6 -bis(glutathione)- 6-(hydroxymethyl)-diketopiperazine', 86)	('S-(hydroxysulfenamide)glutathione', 86)	('S-(2-chlorocarboxymethyl)-glutathione', 86)	('glutathione amide', 77)	('cathinone', 74)	('parthenolide-glutathione', 73)
3-Oxododecanoyl-[acyl-carrier protein]	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('N-[(3R)-8-[(2E)-but-2-enoyl]-6-(5,6-dihydropyridin-2-yl)-2-oxo-4,8-dihydro-3H-1,5-oxathiocin-3-yl]acetamide', 86)	('(3R)-3-hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine', 86)
5-Aminoimidazole ribonucleotide	('4-nitro-5-aminoimidazole ribonucleotide', 95)	('2-amino-3-[(2,5-dihydroxyphenyl)sulfanyl]propanoate', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)thiophene-2-carboxamide', 86)	('(2E,5S,6E,8E,10E)-1-aminododeca-2,6,8,10-tetraen-5-ol', 86)	('(3Z,5S,6E,8E,10E)-1-aminododeca-3,6,8,10-tetraen-5-ol', 86)
dCDP	('dCDP', 100)	('hydroxymethyl-dCDP', 90)	('CDP', 86)	('dCMP', 75)	('dCTP', 75)	('dTDP', 75)	('dUDP', 75)	('dGDP', 75)	('dADP', 75)	('dIDP', 75)
Carbon dioxide	('dibenzothiophene-5,5-dioxide', 86)	('carbon monoxide', 83)	('carbon disulfide', 80)	('iodide', 75)	('nitrogen dioxide', 73)	('narbonolide', 72)	('dicyclohexylcarbodiimide', 69)	('iron dichloride', 69)	('CTAB', 68)	('carboxin', 68)
4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	('4&alpha;-hydroxymethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol', 95)	('S-(hydroxymethyl)bacillithiol', 86)	"(""3',5'-di-C-glucosylphloretin"", 86)"	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('3-hydroxy-5-oxohexanoyl-CoA', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)
Fructose 6-phosphate	('3-amino-3-deoxy-D-fructose 6-phosphate', 90)	('keto-D-fructose 1-phosphate', 90)	('&beta;-D-fructose-2-phosphate', 90)	('phosphate', 90)	('6-bromo-4-cyclohexene-1,2,3-triol', 86)	('2-cyano-6-hydroxybenzothiazole', 86)	('1-deoxy-2,3-hexodiulose-6-phosphate', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('&omega;-saturated C55 dolichol phosphate', 86)	"(""kaempferol 7-O-&beta;-D-(6''-O-malonyl)-glucoside"", 86)"
3-Hydroxy-3-methylglutaryl-CoA	('(S)-3-hydroxy-3-methylglutaryl-CoA', 95)	('glutaryl-CoA', 90)	('3-hydroxy-3-methylglutarate', 88)	('(R)-3,4-dihydroxymandelonitrile &beta;-D-glucoside', 86)	('2-amino-3-[(2,5-dihydroxyphenyl)sulfanyl]propanoate', 86)	('(Z)-N-hydroxy-2-(4-hydroxyphenyl)acetimidothioate', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('(3Z,5S,6E,8E,10E)-1-aminododeca-3,6,8,10-tetraen-5-ol', 86)
4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	('4&alpha;-formyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol', 95)	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)
Phosphoserine	('glycerophosphoserine', 90)	('2-palmitoyl-sn-glycero-3-phosphoserine', 90)	"(""2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycero-1-phosphoserine"", 90)"	('O-phospho-L-serine', 84)	('O-phospho-D-serine', 84)	('eserine', 77)	('phytosphingosine', 76)	('phosphonate', 75)	('phosphinate', 75)	('O-phospho-L-homoserine', 74)
Phosphoenolpyruvic acid	('tenuazonic acid', 86)	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('guadinomic acid', 86)	('huvastatin acid', 86)	('lovastatin acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('novobiocic acid', 86)	('elenolic acid', 86)	('monic acid', 86)
NADP(+)	('NADP<sup>+</sup>', 90)	('&alpha;-NADP<sup>+</sup>', 90)	('(S)-NADPHX', 90)	('(R)-NADPHX', 90)	('&alpha;-NADPH', 90)	('isoniazid-NADP', 90)	('1,6-dihydro-&beta;-NADP', 90)	('1,2-dihydro-&beta;-NADP', 90)	('NADPH', 89)	('ADP', 86)
Phosphoribosyl formamidocarboxamide	"(""5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole"", 86)"	('formamide', 80)	('isocarboxazid', 76)	('phosphoric acid', 74)	('azide', 72)	('phosphoribulosylformimino-AICAR-phosphate', 71)	('phosphite', 70)	('siroamide', 70)	('phosphide', 70)	('barbamide', 70)
L-Glutamic acid	('N6-acetyl-L-&beta;-lysine', 86)	('(L-firefly luciferyl)adenylate', 86)	('N(&alpha;)-benzyloxycarbonyl-L-leucine', 86)	('&gamma;-L-glutamyl-glycylglycine', 86)	('cyanidin 3-O-(4-coumaroyl-&alpha;-L-rhamnosyl-(1&rarr;6)-&beta;-D-glucoside', 86)	('delphinidin 3-O-(4-coumaroyl-&alpha;-L-rhamnosyl-(1&rarr;6)-&beta;-D-glucoside', 86)	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('L-prolyl-trans-4-hydroxy-L-proline', 86)	('a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide', 86)	('4-O-(&alpha;-L-rhamnopyranosyl)-hydroxybenzoate methyl ester', 86)
L-Proline	('L-proline', 100)	('L-prolyl-trans-4-hydroxy-L-proline', 90)	('3-hydroxy-4-methyl-L-proline', 90)	('4-methyl-proline', 90)	('L-prolyl-L-proline dipeptide', 90)	('L-methionyl-L-proline dipeptide', 90)	('L-leucyl-L-proline dipeptide', 90)	('4-propyl-L-proline', 90)	('diphosphoglycolyl proline', 90)	('5-oxo-L-proline', 90)
D-Sedoheptulose 7-phosphate	('D-sedoheptulose 1-phosphate', 96)	('D-sedoheptulose 1,7-bisphosphate', 92)	('phosphate', 90)	('D-threo-isocitrate', 86)	('(R)-3,4-dihydroxymandelonitrile &beta;-D-glucoside', 86)	"(""kaempferol 7-O-&beta;-D-(6''-O-malonyl)-glucoside"", 86)"	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('benzyl 2-acetamido-2-deoxy-&beta;-D-glucopyranoside', 86)	('N-bromoacetyl-&beta;-D-glucopyranosylamine', 86)
NAD	('thio-NAD', 90)	('nonadecane', 90)	('nonadecanoyl-CoA', 90)	('(9Z)-nonadec-9-ene', 90)	('cis-nonadecenoate', 90)	('trans-nonadecenoate', 90)	('1-nonadecene', 90)	('18-methyl-1-nonadecene', 90)	('17-methyl-1-nonadecene', 90)	('1,14-nonadecadiene', 90)
Palmitic acid	('palmitic amide', 89)	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('8-demethylnovobiocic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)
Flavin Adenine Dinucleotide Reduced	('adenine', 90)	('reduced krill luciferin', 86)	('reduced methyl viologen', 86)	('reduced DCPIP', 86)	('reduced pyocyanine', 86)	('reduced coenzyme F430', 86)	('sideretin (reduced form)', 86)	('reduced riboflavin', 86)	('adenine-ring', 86)	('reduced factor 420-7', 86)
Oxoglutaric acid	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('8-demethylnovobiocic acid', 86)	('monic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)	('ulvanobiouronic acid 3-sulfate B', 86)	('colanic acid repeating unit', 86)
gamma-Glutamylcysteine	('&gamma;-L-glutamyl-L-cysteine', 88)	('a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide', 86)	('UDP-N-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanyl-D-alanine', 86)	('UDP-N-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine', 86)	('UDP-N-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanine', 86)	('UDP-N-acetylmuramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanine', 86)	('UDP-<I>N</I>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimelate', 86)	('&gamma;-L-glutamyl-Se-methyl-L-selenocysteine', 86)	('bis-&gamma;-glutamylcystine', 86)	('ATP&gamma;S', 86)
5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	('5-phosphoribosyl-4,5-aminoimidazole', 95)	"(""3',5'-di-C-glucosylphloretin"", 86)"	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('3-hydroxy-5-oxohexanoyl-CoA', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)
Oxalacetic acid	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('8-demethylnovobiocic acid', 86)	('monic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)
