RxnId	Equation	Definition
R09419	C00083 + C00040 <=> C00264 + C00010 + C00011	Malonyl-CoA + Acyl-CoA <=> 3-Oxoacyl-CoA + CoA + CO2
R10825	C20876 + C00083 <=> C20877 + C00011 + C00010	Very-long-chain acyl-CoA + Malonyl-CoA <=> Very-long-chain 3-oxoacyl-CoA + CO2 + CoA
R01051	C00002 + C00121 <=> C00008 + C00117	ATP + D-Ribose <=> ADP + D-Ribose 5-phosphate
R02750	C00673 + C00008 <=> C01801 + C00002	2-Deoxy-D-ribose 5-phosphate + ADP <=> Deoxyribose + ATP
R01461	C00040 + C00187 <=> C00010 + C02530	Acyl-CoA + Cholesterol <=> CoA + Cholesterol ester
R01466	C01102 + C00001 <=> C00188 + C00009	O-Phospho-L-homoserine + H2O <=> L-Threonine + Orthophosphate
R05086	C06055 + C00001 <=> C06056 + C00009	O-Phospho-4-hydroxy-L-threonine + H2O <=> 4-Hydroxy-L-threonine + Orthophosphate
R02250	C00422 + C00001 <=> C00641 + C00162	Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid
R02687	C00641 + C00001 <=> C01885 + C00162	1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid
R02035	C01236 + C00001 <=> C00345	D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate
R00746	C00469 + C00006 <=> C00084 + C00005 + C00080	Ethanol + NADP+ <=> Acetaldehyde + NADPH + H+
R01041	C00116 + C00006 <=> C00577 + C00005 + C00080	Glycerol + NADP+ <=> D-Glyceraldehyde + NADPH + H+
R01481	C00800 + C00006 <=> C00191 + C00005 + C00080	L-Gulonate + NADP+ <=> D-Glucuronate + NADPH + H+
R05231	C06103 + C00006 <=> C06102 + C00005 + C00080	6-Hydroxyhexanoic acid + NADP+ <=> Adipate semialdehyde + NADPH + H+
R00875	C00794 + C00003 <=> C00095 + C00004 + C00080	D-Sorbitol + NAD+ <=> D-Fructose + NADH + H+
R01896	C00379 + C00003 <=> C00310 + C00004 + C00080	Xylitol + NAD+ <=> D-Xylulose + NADH + H+
R10686	C00018 + C00135 <=> C04556	Pyridoxal phosphate + L-Histidine <=> 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine
R01676	C00242 + C00001 <=> C00385 + C00014	Guanine + H2O <=> Xanthine + Ammonia
R05976	C03021 + G00008 <=> C00621 + G00009	Protein asparagine + G00008 <=> Dolichyl diphosphate + G00009
R00243	C00025 + C00003 + C00001 <=> C00026 + C00014 + C00004 + C00080	L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+
R00084	4 C00931 + C00001 <=> C01024 + 4 C00014	4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia
R00271	C00024 + C00001 + C00026 <=> C01251 + C00010	Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA
R11593	C00022 + C01087 <=> C00256 + C00026	Pyruvate + (R)-2-Hydroxyglutarate <=> (R)-Lactate + 2-Oxoglutarate
R00197	C00256 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080	(R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
R00093	2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080	2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+
R06983	C14180 + C00003 <=> C01031 + C00004 + C00080	S-(Hydroxymethyl)glutathione + NAD+ <=> S-Formylglutathione + NADH + H+
R00127	C00002 + C00020 <=> 2 C00008	ATP + AMP <=> 2 ADP
R01547	C00002 + C00360 <=> C00008 + C00206	ATP + dAMP <=> ADP + dADP
R02030	C00344 + C00269 <=> C05980 + C00055	Phosphatidylglycerol + CDP-diacylglycerol <=> Cardiolipin + CMP
R01074	C00002 + C00120 <=> C00013 + C05921	ATP + Biotin <=> Diphosphate + Biotinyl-5'-AMP
R05145	C05921 + C06249 <=> C00020 + C06250	Biotinyl-5'-AMP + Apo-[carboxylase] <=> AMP + Holo-[carboxylase]
R00078	C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001	Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O
R00416	C00075 + C04501 <=> C00013 + C00043	UTP + N-Acetyl-alpha-D-glucosamine 1-phosphate <=> Diphosphate + UDP-N-acetyl-alpha-D-glucosamine
R09844	C00448 + C20119 <=> C20120 + C00013	trans,trans-Farnesyl diphosphate + Protein-cysteine <=> S-Farnesyl protein + Diphosphate
R00755	C00084 + C00068 <=> C05125	Acetaldehyde + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate
R00342	C00149 + C00003 <=> C00036 + C00004 + C00080	(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+
R07136	C11537 + C00003 <=> C05528 + C00004 + C00080	(2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+
R00267	C00311 + C00006 <=> C00026 + C00011 + C00005 + C00080	Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+
R00268	C05379 <=> C00026 + C00011	Oxalosuccinate <=> 2-Oxoglutarate + CO2
R01899	C00311 + C00006 <=> C05379 + C00005 + C00080	Isocitrate + NADP+ <=> Oxalosuccinate + NADPH + H+
R00885	C00044 + C00636 <=> C00013 + C00096	GTP + D-Mannose 1-phosphate <=> Diphosphate + GDP-mannose
R02241	C00416 + C00010 <=> C00681 + C00040	Phosphatidate + CoA <=> 1-Acyl-sn-glycerol 3-phosphate + Acyl-CoA
R09381	C00173 + C00681 <=> C00229 + C00416	Acyl-[acyl-carrier protein] + 1-Acyl-sn-glycerol 3-phosphate <=> Acyl-carrier protein + Phosphatidate
R00161	C00002 + C00061 <=> C00013 + C00016	ATP + FMN <=> Diphosphate + FAD
R10633	C00003 + C01997 + C00001 <=> C00153 + C02415 + C20658 + C00080	NAD+ + Histone N6-acetyl-L-lysine + H2O <=> Nicotinamide + Histone-L-lysine + O-Acetyl-ADP-ribose + H+
R10634	C00003 + C20743 + C00001 <=> C00153 + C02188 + C20658 + C00080	NAD+ + Protein N6-acetyl-L-lysine + H2O <=> Nicotinamide + Protein lysine + O-Acetyl-ADP-ribose + H+
R00842	C00093 + C00003 <=> C00111 + C00004 + C00080	sn-Glycerol 3-phosphate + NAD+ <=> Glycerone phosphate + NADH + H+
R01518	C00631 <=> C00197	2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate
R07761	C16218 + C00005 + C00080 <=> C00412 + C00006	(2E)-Octadecenoyl-CoA + NADPH + H+ <=> Stearoyl-CoA + NADP+
R09449	C00658 + C00005 + C00080 <=> C02843 + C00006	trans-2,3-Dehydroacyl-CoA + NADPH + H+ <=> Long-chain acyl-CoA + NADP+
R10828	C20876 + C00006 <=> C20879 + C00005 + C00080	Very-long-chain acyl-CoA + NADP+ <=> Very-long-chain trans-2,3-dehydroacyl-CoA + NADPH + H+
R03509	C04302 <=> C01302	N-(5-Phospho-D-ribosyl)anthranilate <=> 1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
R02300	C03479 <=> C00445 + C00001	Folinic acid <=> 5,10-Methenyltetrahydrofolate + H2O
R04125	C01242 + C00101 <=> C02972 + C00143 + C00014	[Protein]-S8-aminomethyldihydrolipoyllysine + Tetrahydrofolate <=> Dihydrolipoylprotein + 5,10-Methylenetetrahydrofolate + Ammonia
R00513	C00002 + C00475 <=> C00008 + C00055	ATP + Cytidine <=> ADP + CMP
R00516	C00075 + C00475 <=> C00015 + C00055	UTP + Cytidine <=> UDP + CMP
R00517	C00044 + C00475 <=> C00035 + C00055	GTP + Cytidine <=> GDP + CMP
R00962	C00081 + C00475 <=> C00104 + C00055	ITP + Cytidine <=> IDP + CMP
R00964	C00002 + C00299 <=> C00008 + C00105	ATP + Uridine <=> ADP + UMP
R00967	C00075 + C00299 <=> C00015 + C00105	UTP + Uridine <=> UDP + UMP
R00968	C00044 + C00299 <=> C00035 + C00105	GTP + Uridine <=> GDP + UMP
R00970	C00081 + C00299 <=> C00104 + C00105	ITP + Uridine <=> IDP + UMP
R01548	C00131 + C00475 <=> C00206 + C00055	dATP + Cytidine <=> dADP + CMP
R01549	C00131 + C00299 <=> C00206 + C00105	dATP + Uridine <=> dADP + UMP
R01880	C00286 + C00299 <=> C00361 + C00105	dGTP + Uridine <=> dGDP + UMP
R02091	C00286 + C00475 <=> C00361 + C00055	dGTP + Cytidine <=> dGDP + CMP
R02096	C00459 + C00475 <=> C00363 + C00055	dTTP + Cytidine <=> dTDP + CMP
R02097	C00459 + C00299 <=> C00363 + C00105	dTTP + Uridine <=> dTDP + UMP
R02327	C00458 + C00299 <=> C00705 + C00105	dCTP + Uridine <=> dCDP + UMP
R02332	C00460 + C00299 <=> C01346 + C00105	dUTP + Uridine <=> dUDP + UMP
R02371	C00458 + C00475 <=> C00705 + C00055	dCTP + Cytidine <=> dCDP + CMP
R02372	C00460 + C00475 <=> C01346 + C00055	dUTP + Cytidine <=> dUDP + CMP
R08232	C16633 + C00002 <=> C16634 + C00008	5-Fluorouridine + ATP <=> 5-Fluorouridine monophosphate + ADP
R03158	C01013 + C00010 <=> C05668 + C00001	3-Hydroxypropanoate + CoA <=> 3-Hydroxypropionyl-CoA + H2O
R05064	C06000 + C00001 <=> C00010 + C06001	(S)-3-Hydroxyisobutyryl-CoA + H2O <=> CoA + (S)-3-Hydroxyisobutyrate
R03220	C03263 + C00007 <=> C01079 + 2 C00011 + 2 C00001	Coproporphyrinogen III + Oxygen <=> Protoporphyrinogen IX + 2 CO2 + 2 H2O
R03197	C01051 <=> C03263 + 4 C00011	Uroporphyrinogen III <=> Coproporphyrinogen III + 4 CO2
R04972	C05766 <=> C05768 + 4 C00011	Uroporphyrinogen I <=> Coproporphyrinogen I + 4 CO2
R01015	C00118 <=> C00111	D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate
R01281	C00154 + C00065 <=> C02934 + C00010 + C00011	Palmitoyl-CoA + L-Serine <=> 3-Dehydrosphinganine + CoA + CO2
R02778	C00689 + C00001 <=> C01083 + C00009	alpha,alpha'-Trehalose 6-phosphate + H2O <=> alpha,alpha-Trehalose + Orthophosphate
R00258	C00041 + C00026 <=> C00022 + C00025	L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate
R02412	C00002 + C00493 <=> C00008 + C03175	ATP + Shikimate <=> ADP + Shikimate 3-phosphate
R02413	C00493 + C00006 <=> C02637 + C00005 + C00080	Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+
R03083	C04691 <=> C00944 + C00009	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate <=> 3-Dehydroquinate + Orthophosphate
R03084	C00944 <=> C02637 + C00001	3-Dehydroquinate <=> 3-Dehydroshikimate + H2O
R03460	C00074 + C03175 <=> C00009 + C01269	Phosphoenolpyruvate + Shikimate 3-phosphate <=> Orthophosphate + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate
R01468	C00002 + C00189 <=> C00008 + C00346	ATP + Ethanolamine <=> ADP + Ethanolamine phosphate
R01933	C00322 + C00010 + C00003 <=> C00527 + C00011 + C00004 + C00080	2-Oxoadipate + CoA + NAD+ <=> Glutaryl-CoA + CO2 + NADH + H+
R02570	C00091 + C15973 <=> C00010 + C16254	Succinyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine
R02571	C00527 + C15973 <=> C00010 + C06157	Glutaryl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine
R08549	C00026 + C00010 + C00003 <=> C00091 + C00011 + C00004 + C00080	2-Oxoglutarate + CoA + NAD+ <=> Succinyl-CoA + CO2 + NADH + H+
R02291	C00441 + C00009 + C00006 <=> C03082 + C00005 + C00080	L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+
R03478	C00002 + C04477 <=> C00008 + C01284	ATP + 1D-myo-Inositol 1,3,4,6-tetrakisphosphate <=> ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
R05800	C00002 + C01245 <=> C00008 + C11555	ATP + D-myo-Inositol 1,4,5-trisphosphate <=> ADP + 1D-myo-Inositol 1,4,5,6-tetrakisphosphate
R05801	C00002 + C11555 <=> C00008 + C01284	ATP + 1D-myo-Inositol 1,4,5,6-tetrakisphosphate <=> ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
R10065	2 C00002 + C01245 <=> 2 C00008 + C01284	2 ATP + D-myo-Inositol 1,4,5-trisphosphate <=> 2 ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
R10953	C00002 + C01272 <=> C00008 + C01284	ATP + 1D-myo-Inositol 1,3,4,5-tetrakisphosphate <=> ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
R02164	C15602 + C00042 <=> C15603 + C00122	Quinone + Succinate <=> Hydroquinone + Fumarate
R00130	C00002 + C00882 <=> C00008 + C00010	ATP + Dephospho-CoA <=> ADP + CoA
R03469	C00002 + C01277 <=> C00008 + C04637	ATP + 1-Phosphatidyl-1D-myo-inositol 4-phosphate <=> ADP + 1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate
R11319	C00068 + C00008 <=> C03028 + C00020	Thiamin diphosphate + ADP <=> Thiamin triphosphate + AMP
R00830	C00091 + C00037 <=> C00430 + C00010 + C00011	Succinyl-CoA + Glycine <=> 5-Aminolevulinate + CoA + CO2
R04371	C05662 <=> C04002 + C00001	Homoisocitrate <=> (Z)-But-1-ene-1,2,4-tricarboxylate + H2O
R00549	C00002 + C00255 <=> C00008 + C00061	ATP + Riboflavin <=> ADP + FMN
R02540	C02505 + C00001 <=> C07086 + C00014	2-Phenylacetamide + H2O <=> Phenylacetic acid + Ammonia
R03096	C02693 + C00001 <=> C00954 + C00014	(Indol-3-yl)acetamide + H2O <=> Indole-3-acetate + Ammonia
R03180	C03078 + C00001 <=> C01035 + C00014	4-Guanidinobutanamide + H2O <=> 4-Guanidinobutanoate + Ammonia
R03909	C03620 + C00001 <=> C00060 + C00014	Monocarboxylic acid amide + H2O <=> Carboxylate + Ammonia
R05551	C00511 + C00014 <=> C01659 + C00001	Acrylic acid + Ammonia <=> Acrylamide + H2O
R05590	C09815 + C00001 <=> C00180 + C00014	Benzamide + H2O <=> Benzoate + Ammonia
R01737	C00002 + C00257 <=> C00008 + C00345	ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate
R00009	2 C00027 <=> C00007 + 2 C00001	2 Hydrogen peroxide <=> Oxygen + 2 H2O
R00602	C00132 + C00027 <=> C00067 + 2 C00001	Methanol + Hydrogen peroxide <=> Formaldehyde + 2 H2O
R02670	2 C00632 + 4 C00007 <=> C05640 + 2 C00704 + 2 C00027 + 2 C00080	2 3-Hydroxyanthranilate + 4 Oxygen <=> Cinnavalininate + 2 Superoxide + 2 Hydrogen peroxide + 2 H+
R00308	C00965 + C00001 <=> C00031 + C00965	1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan
R03115	C00965 + C00001 <=> C00965 + C00267	1,3-beta-D-Glucan + H2O <=> 1,3-beta-D-Glucan + alpha-D-Glucose
R01736	C03451 + C00001 <=> C00051 + C00256	(R)-S-Lactoylglutathione + H2O <=> Glutathione + (R)-Lactate
R02239	C00416 + C00001 <=> C00641 + C00009	Phosphatidate + H2O <=> 1,2-Diacyl-sn-glycerol + Orthophosphate
R01185	C01177 + C00001 <=> C00137 + C00009	Inositol 1-phosphate + H2O <=> myo-Inositol + Orthophosphate
R01186	C03546 + C00001 <=> C00137 + C00009	myo-Inositol 4-phosphate + H2O <=> myo-Inositol + Orthophosphate
R01187	C04006 + C00001 <=> C00137 + C00009	1D-myo-Inositol 3-phosphate + H2O <=> myo-Inositol + Orthophosphate
R02464	C01120 <=> C00346 + C00517	Sphinganine 1-phosphate <=> Ethanolamine phosphate + Hexadecanal
R06516	C06124 <=> C00346 + C06123	Sphingosine 1-phosphate <=> Ethanolamine phosphate + Hexadecenal
R06525	C00836 + 2 C00999 + C00007 + 2 C00080 <=> C12144 + 2 C00996 + C00001	Sphinganine + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Phytosphingosine + 2 Ferricytochrome b5 + H2O
R06526	C12126 + 2 C00999 + C00007 + 2 C00080 <=> C12145 + 2 C00996 + C00001	Dihydroceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Phytoceramide + 2 Ferricytochrome b5 + H2O
R00239	C00002 + C00025 <=> C00008 + C03287	ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate
R05924	C00350 + G00141 <=> C00641 + G00151	Phosphatidylethanolamine + G00141 <=> 1,2-Diacyl-sn-glycerol + G00151
R08107	C00350 + G00149 <=> C00641 + G13044	Phosphatidylethanolamine + G00149 <=> 1,2-Diacyl-sn-glycerol + G13044
R12702	C00350 + G13044 <=> C00641 + G13152	Phosphatidylethanolamine + G13044 <=> 1,2-Diacyl-sn-glycerol + G13152
R00187	C06197 + C00001 <=> C00008 + C00020	P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP
R05202	C01204 + C00008 <=> C01284 + C00002	Phytic acid + ADP <=> 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate + ATP
R00485	C00152 + C00001 <=> C00049 + C00014	L-Asparagine + H2O <=> L-Aspartate + Ammonia
R02016	C00342 + C00006 <=> C00343 + C00005 + C00080	Thioredoxin + NADP+ <=> Thioredoxin disulfide + NADPH + H+
R03596	C01528 + 3 C00006 + 3 C00001 <=> C05684 + 3 C00005 + 5 C00080	Hydrogen selenide + 3 NADP+ + 3 H2O <=> Selenite + 3 NADPH + 5 H+
R09372	2 C00005 + 2 C00080 + C18902 <=> 2 C00006 + 2 C00001 + C05703	2 NADPH + 2 H+ + Methylselenic acid <=> 2 NADP+ + 2 H2O + Methaneselenol
R01073	C04302 + C00013 <=> C00108 + C00119	N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate <=> Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate
R01206	C00461 + C00001 <=> C00140 + C00461	Chitin + H2O <=> N-Acetyl-D-glucosamine + Chitin
R02334	C00461 + C00001 <=> C01674 + C00461	Chitin + H2O <=> Chitobiose + Chitin
R01132	C00130 + C00013 <=> C00262 + C00119	IMP + Diphosphate <=> Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate
R01229	C00144 + C00013 <=> C00242 + C00119	GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate
R02142	C00655 + C00013 <=> C00385 + C00119	Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate
R01080	C00299 + C00001 <=> C00106 + C00121	Uridine + H2O <=> Uracil + D-Ribose
R01273	C03150 + C00001 <=> C00153 + C00121	Nicotinamide-beta-riboside + H2O <=> Nicotinamide + D-Ribose
R10046	C05841 + C00001 <=> C00253 + C00121	Nicotinate D-ribonucleoside + H2O <=> Nicotinate + D-Ribose
R04325	C00234 + C03838 <=> C00101 + C04376	10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <=> Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide
R04326	C03838 + C00445 + C00001 <=> C04376 + C00101	5'-Phosphoribosylglycinamide + 5,10-Methenyltetrahydrofolate + H2O <=> 5'-Phosphoribosyl-N-formylglycinamide + Tetrahydrofolate
R04496	C00019 + C04506 <=> C00021 + C04748	S-Adenosyl-L-methionine + Protein C-terminal S-farnesyl-L-cysteine <=> S-Adenosyl-L-homocysteine + Protein C-terminal S-farnesyl-L-cysteine methyl ester
R00988	C05653 + C00001 <=> C00058 + C00108	Formylanthranilate + H2O <=> Formate + Anthranilate
R01959	C02700 + C00001 <=> C00058 + C00328	L-Formylkynurenine + H2O <=> Formate + L-Kynurenine
R04911	C05648 + C00001 <=> C05651 + C00058	5-Hydroxy-N-formylkynurenine + H2O <=> 5-Hydroxykynurenine + Formate
R05916	G10610 + C01194 <=> G10619 + G00143	UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143
R03875	C02188 + C00019 <=> C05544 + C00021	Protein lysine + S-Adenosyl-L-methionine <=> Protein N6-methyl-L-lysine + S-Adenosyl-L-homocysteine
R04866	C00019 + C05544 <=> C00021 + C05545	S-Adenosyl-L-methionine + Protein N6-methyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6-dimethyl-L-lysine
R04867	C00019 + C05545 <=> C00021 + C05546	S-Adenosyl-L-methionine + Protein N6,N6-dimethyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6,N6-trimethyl-L-lysine
R00190	C00020 + C00013 <=> C00147 + C00119	AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate
R04378	C04677 + C00013 <=> C04051 + C00119	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + Diphosphate <=> 5-Amino-4-imidazolecarboxyamide + 5-Phospho-alpha-D-ribose 1-diphosphate
R00332	C00002 + C00144 <=> C00008 + C00035	ATP + GMP <=> ADP + GDP
R02090	C00002 + C00362 <=> C00008 + C00361	ATP + dGMP <=> ADP + dGDP
R04620	C04895 + 3 C00001 <=> C04874 + 3 C00009	7,8-Dihydroneopterin 3'-triphosphate + 3 H2O <=> 7,8-Dihydroneopterin + 3 Orthophosphate
R07281	C00199 <=> C15556 + C00058	D-Ribulose 5-phosphate <=> L-3,4-Dihydroxybutan-2-one 4-phosphate + Formate
R00177	C00009 + C00013 + C00019 <=> C00002 + C00073 + C00001	Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O
R04771	C00002 + C05335 + C00001 <=> C00009 + C00013 + C05691	ATP + L-Selenomethionine + H2O <=> Orthophosphate + Diphosphate + Se-Adenosylselenomethionine
R02971	C00002 + C00831 <=> C00008 + C01134	ATP + Pantetheine <=> ADP + Pantetheine 4'-phosphate
R03018	C00002 + C00864 <=> C00008 + C03492	ATP + Pantothenate <=> ADP + D-4'-Phosphopantothenate
R04391	C00002 + C04079 <=> C00008 + C04352	ATP + N-((R)-Pantothenoyl)-L-cysteine <=> ADP + (R)-4'-Phosphopantothenoyl-L-cysteine
R09796	C00256 <=> C00546 + C00001	(R)-Lactate <=> Methylglyoxal + H2O
R01238	C00156 <=> C00146 + C00011	4-Hydroxybenzoate <=> Phenol + CO2
R02952	C00811 <=> C05627 + C00011	4-Coumarate <=> 4-Hydroxystyrene + CO2
R03367	C01197 <=> C06224 + C00011	Caffeate <=> 3,4-Dihydroxystyrene + CO2
R04985	C05807 + C00011 <=> C05848	2-Polyprenylphenol + CO2 <=> 4-Hydroxy-3-polyprenylbenzoate
R04986	C05809 <=> C05810 + C00011	3-Octaprenyl-4-hydroxybenzoate <=> 2-Octaprenylphenol + CO2
R11225	C21214 + C01847 <=> C21215 + C00009	Dimethylallyl phosphate + Reduced FMN <=> Prenylated FMNH2 + Orthophosphate
R00868	C00392 + C00003 <=> C00095 + C00004 + C00080	Mannitol + NAD+ <=> D-Fructose + NADH + H+
R03903	C00024 + C02265 <=> C00010 + C05620	Acetyl-CoA + D-Phenylalanine <=> CoA + N-Acetyl-D-phenylalanine
R08193	C00357 <=> C04501	N-Acetyl-D-glucosamine 6-phosphate <=> N-Acetyl-alpha-D-glucosamine 1-phosphate
R00751	C00188 <=> C00037 + C00084	L-Threonine <=> Glycine + Acetaldehyde
R06171	C05519 <=> C00037 + C00084	L-Allothreonine <=> Glycine + Acetaldehyde
R07395	C15650 + C00001 <=> C15606 + C00009	2,3-Diketo-5-methylthiopentyl-1-phosphate + H2O <=> 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one + Orthophosphate
R00174	C00002 + C00250 <=> C00008 + C00018	ATP + Pyridoxal <=> ADP + Pyridoxal phosphate
R01909	C00002 + C00314 <=> C00008 + C00627	ATP + Pyridoxine <=> ADP + Pyridoxine phosphate
R02493	C00002 + C00534 <=> C00008 + C00647	ATP + Pyridoxamine <=> ADP + Pyridoxamine phosphate
R00965	C01103 <=> C00105 + C00011	Orotidine 5'-phosphate <=> UMP + CO2
R02110	C00718 <=> C00369	Amylose <=> Starch
R01819	C00275 <=> C05345	D-Mannose 6-phosphate <=> beta-D-Fructose 6-phosphate
R00086	C00002 + C00001 <=> C00008 + C00009	ATP + H2O <=> ADP + Orthophosphate
R00122	C00008 + C00001 <=> C00020 + C00009	ADP + H2O <=> AMP + Orthophosphate
R00155	C00015 + C00001 <=> C00105 + C00009	UDP + H2O <=> UMP + Orthophosphate
R00159	C00075 + C00001 <=> C00015 + C00009	UTP + H2O <=> UDP + Orthophosphate
R00328	C00035 + C00001 <=> C00144 + C00009	GDP + H2O <=> GMP + Orthophosphate
R00335	C00044 + C00001 <=> C00035 + C00009	GTP + H2O <=> GDP + Orthophosphate
R00514	C00112 + C00001 <=> C00055 + C00009	CDP + H2O <=> CMP + Orthophosphate
R00569	C00063 + C00001 <=> C00112 + C00009	CTP + H2O <=> CDP + Orthophosphate
R00719	C00081 + C00001 <=> C00104 + C00009	ITP + H2O <=> IDP + Orthophosphate
R00961	C00104 + C00001 <=> C00130 + C00009	IDP + H2O <=> IMP + Orthophosphate
R02092	C00363 + C00001 <=> C00364 + C00009	dTDP + H2O <=> dTMP + Orthophosphate
R02095	C00459 + C00001 <=> C00363 + C00009	dTTP + H2O <=> dTDP + Orthophosphate
R03222	C01079 + 3 C00007 <=> C02191 + 3 C00027	Protoporphyrinogen IX + 3 Oxygen <=> Protoporphyrin + 3 Hydrogen peroxide
R04178	C03263 + 3 C00007 <=> C05770 + 3 C00027	Coproporphyrinogen III + 3 Oxygen <=> Coproporphyrin III + 3 Hydrogen peroxide
R00390	C00002 + C00638 + C00010 <=> C00020 + C00013 + C02843	ATP + Long-chain fatty acid + CoA <=> AMP + Diphosphate + Long-chain acyl-CoA
R01280	C00002 + C00249 + C00010 <=> C00020 + C00154 + C00013	ATP + Hexadecanoic acid + CoA <=> AMP + Palmitoyl-CoA + Diphosphate
R02541	C00550 + C00001 <=> C00195 + C00588	Sphingomyelin + H2O <=> N-Acylsphingosine + Choline phosphate
R01248	C00148 + C00003 <=> C03912 + C00004 + C00080	L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+
R01251	C00148 + C00006 <=> C03912 + C00005 + C00080	L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+
R03291	C01157 + C00003 <=> C04281 + C00004 + C00080	Hydroxyproline + NAD+ <=> L-1-Pyrroline-3-hydroxy-5-carboxylate + NADH + H+
R03293	C01157 + C00006 <=> C04281 + C00005 + C00080	Hydroxyproline + NADP+ <=> L-1-Pyrroline-3-hydroxy-5-carboxylate + NADPH + H+
R01800	C00269 + C00065 <=> C00055 + C02737	CDP-diacylglycerol + L-Serine <=> CMP + Phosphatidylserine
R11527	C00681 + C00001 <=> C01885 + C00009	1-Acyl-sn-glycerol 3-phosphate + H2O <=> 1-Acylglycerol + Orthophosphate
R00192	C00021 + C00001 <=> C00212 + C00155	S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine
R04936	C05692 + C00001 <=> C00212 + C05698	Se-Adenosyl-L-selenohomocysteine + H2O <=> Adenosine + Selenohomocysteine
R00480	C00002 + C00049 <=> C00008 + C03082	ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate
