MetaCycId	Uniprot	lSpecies	lCatalyzes	Names	lGenes	Locations	Component_of	Components	Go_terms	modified_form	component_coefficients	appears_in_left_side_of	isozyme_sequence_similarity
|EAH-MONOMER|	Q94FM7	['|TAX-4097|']	['|ENZRXN-18411|', '|ENZRXN-6542|', '|ENZRXN-6541|', '|ENZRXN-6521|', '|ENZRXN-6505|']	['5-<i>epi</i>-aristolochene-1,3-dihydroxylase', 'Protein', 'a protein']	['|EAH|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-20052|	Q700B8	['|TAX-615|']	['|ENZRXN-25185|']	['chitinase C1', 'Protein', 'a protein', 'ChiC']	['|G-44749|']	[]	[]	[]	[]	['|MONOMER-20053|']	[]	[]	[]
|MONOMER-18060|	Q5JBG6	['|ORG-6228|']	['|ENZRXN-21813|']	['WbwI', 'WbnI', 'Protein', 'a protein']	['|G-16055|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMERQT-2770|	Q9SUU5	['|ORG-5993|']	[]	['cytochrome <i>bc</i><sub>1</sub> complex subunit 7-1', 'Protein', 'a protein']	['|GQT-5776|']	[]	['|CPLXQT-10|']	[]	[]	[]	[]	[]	[]
|MONOMER-12180|	Q7U0G9	['|TAX-1765|']	['|ENZRXN-26079|', '|ENZRXN-12804|']	['FbiC', 'Protein', 'a protein']	['|G-9419|']	[]	[]	[]	[]	[]	[]	[]	[]
|GDQC-9006-MONOMER|	B6SUA1	['|TAX-4577|']	['|ENZRXN-27234|', '|ENZRXN-27233|']	['DIM<sub>2</sub>BOA-glucoside O-methyltransferase', 'Zm00001d004921_T001.1', 'GRMZM2G127418', 'Protein', 'a protein', 'DIM<sub>2</sub>BOA-&beta;-D-glucoside <i>O</i>-methyltransferase']	['|GDQC-9006|']	[]	[]	[]	['|GO:0008171|']	[]	[]	[]	[]
|MONOMER-20543|	D4GS48	['|TAX-2246|']	[]	['archaeal zwischenferment', 'Protein', 'Azf', 'a protein', 'NAD-dependent glucose-6-phosphate dehydrogenase monomer']	['|G-58334|']	[]	['|CPLX-9304|']	[]	[]	[]	[]	[]	[]
|DCDDHCOTE-MONOMER|		['|ORG-5891|']	[]	['DCD dehydrogenase subunit', 'Protein', 'a protein']	[]	[]	['|CPLX-1562|']	[]	[]	[]	[]	[]	[]
|MONOMER3O-4095|	P36148	['|TAX-4932|']	['|ENZRXN-22413|', '|ENZRXN-22412|', '|ENZRXN3O-5996|', '|ENZRXN3O-4096|']	['Protein', 'a protein', 'glycerol-3-phosphate acyltransferase']	['|YKR067W|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-12815|	Q9WX54	['|TAX-548|']	[]	['alanine dehydrogenase subunit', 'Protein', 'a protein']	['|G-9824|']	[]	['|CPLX-7262|']	[]	[]	[]	[]	[]	[]
|MONOMER-20472|	Q6W4P8	['|TAX-42323|']	['|ENZRXN-26256|']	['2,3-dihydroxybenzoate-[aryl-carrier protein] ligase', 'Protein', 'a protein', 'AngE']	['|G-58261|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-15259|		['|TAX-8355|']	['|ENZRXN-17291|']	['Protein', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|SAPF-MONOMER|	P0AAH8	['|TAX-511145|']	[]	['putrescine ABC exporter ATP binding protein SapF', 'Protein', 'a protein']	['|EG12305|']	[]	['|ABC-29-CPLX|']	[]	['|GO:0043190|', '|GO:0015847|', '|GO:0015489|', '|GO:0005829|', '|GO:0005515|', '|GO:0016887|', '|GO:0005886|', '|GO:0016020|', '|GO:0005524|', '|GO:0000166|']	[]	[]	[]	[]
|MONOMER-12729|	Q8H1X6	['|TAX-4113|']	['|ENZRXN-13468|', '|ENZRXN-13467|']	['Protein', '9-allene oxide synthase', 'a protein']	['|G-9760|']	[]	[]	[]	[]	[]	[]	[]	[]
|REUT_A1585-MONOMER|	Q8KTD8	['|TAX-264198|']	['|ENZRXN-16109|', '|ENZRXN-16110|']	['TcpA', '2,4,6-trichlorophenol monooxygenase', 'Protein', 'a protein']	['|REUT_A1585|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-15842|	P95618	['|TAX-28068|']	['|ENZRXN-18130|', '|ENZRXN-18126|']	['carotenoid 3,4-desaturase', 'CrtD', 'hydroxyneurosporene and rhodopin dehydrogenase', 'Protein', 'a protein']	['|G-12168|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-15754|		['|ORG-6147|']	['|ENZRXN-17956|', '|ENZRXN-17955|']	['Protein', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18457|	Q5SK48	['|TAX-300852|']	['|ENZRXN-22476|']	['Protein', 'aminodeoxyfutalosine synthase', 'a protein', 'MqnE']	['|G-17947|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18537|	Q7BSH0	['|TAX-386|']	['|ENZRXN-22615|']	['L-rhamnulose kinase', 'Protein', 'a protein', 'RhaK', 'rhamnulokinase']	['|G-18010|']	[]	[]	[]	[]	[]	[]	[]	[]
|HS02595-MONOMER|	Q14534	['|TAX-9606|']	['|ENZRXN66-3982|']	['squalene-2,3-epoxidase', 'squalene monooxygenase', 'squalene epoxidase', 'Protein', 'a protein']	['|HS02595|']	[]	[]	[]	['|GO:0005783|', '|GO:0022900|']	[]	[]	[]	[]
|EG11061-MONOMER|	P0A698	['|TAX-511145|']	[]	['Dar', 'UvrA', 'DinE', 'excision nuclease subunit A', 'Protein', 'a protein']	['|EG11061|']	[]	['|UVRABC-CPLX|']	[]	['|GO:0009381|', '|GO:0008270|', '|GO:0042802|', '|GO:0009314|', '|GO:0090305|', '|GO:0005515|', '|GO:0006974|', '|GO:0000166|', '|GO:0009380|', '|GO:0006289|', '|GO:0005829|', '|GO:0046872|', '|GO:0016887|', '|GO:0005524|', '|GO:0004518|', '|GO:0003677|', '|GO:0006281|', '|GO:0009432|', '|GO:0005737|']	[]	[]	[]	[]
|MONOMER-16260|	Q5UWC0	['|TAX-2238|']	['|ENZRXN-18772|']	['PccB', 'Protein', 'propionyl-CoA carboxylase', 'a protein']	['|G-12553|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-20867|		['|TAX-54731|']	[]	['NEPS2 subunit', 'Protein', 'a protein']	['|G-80432|']	[]	['|CPLX-9423|']	[]	[]	[]	[]	[]	[]
|MONOMER-18848|	E9RCR4	['|TAX-746128|']	['|ENZRXN-23080|']	['GliC', 'cyclo(<i>L</i>-Phe-<i>L</i>-Ser) hydroxylase', 'Protein', 'a protein']	['|G-34556|']	[]	[]	[]	[]	[]	[]	[]	[]
|HS03557-MONOMER|	Q9NPZ5	['|TAX-9606|']	[]	['galactosylgalactosylxylosylprotein 3-&beta;-glucuronosyltransferase 2 monomer', 'Beta-1,3-glucuronyltransferase 2', 'Glucuronosyltransferase-S', 'Protein', 'a protein', 'GlcAT-S', 'UDP-glucuronosyltransferase-S', 'GlcAT-D']	['|HS03557|']	[]	['|CPLX-8121|']	[]	[]	[]	[]	[]	[]
|MONOMER-13221|	Q05628	['|TAX-90371|']	['|ENZRXN-14079|']	['cobalt-precorrin-6A synthase', 'CbiD', 'Protein', 'a protein']	['|G-10062|']	[]	[]	[]	[]	[]	[]	[]	[]
|HS07544-MONOMER|	O95340	['|TAX-9606|']	['|ENZRXN66-100|', '|ENZRXN66-101|']	["adenosine-5'-phosphosulfate 3'-phosphotransferase", "3'-phosphoadenosine 5'-phosphosulfate synthase 2", "3'-phosphoadenosine-5'-phosphosulfate synthetase", 'PAPS synthetase 2', 'PAPSS 2', 'Protein', 'a protein', "adenylylsulfate 3'-phosphotransferase"]	['|HS07544|']	[]	[]	[]	['|GO:0016779|', '|GO:0006139|', '|GO:0005524|', '|GO:0004781|', '|GO:0004020|', '|GO:0001501|', '|GO:0000103|']	[]	[]	[]	[]
|EG11336-MONOMER|	P25736	['|TAX-511145|']	['|ENZRXN0-6154|']	['EndA', 'DNA-specific endonuclease I', 'Protein', 'a protein']	['|EG11336|']	[]	[]	[]	['|GO:0090305|', '|GO:0006308|', '|GO:0016888|', '|GO:0016787|', '|GO:0004518|', '|GO:0030288|', '|GO:0042597|', '|GO:0004519|', '|GO:0004530|']	[]	[]	[]	[]
|AT1G66270-MONOMER|		['|ORG-5993|']	['|ENZRXN-21409|', '|ENZRXN-21413|', '|ENZRXN-21416|']	['scopolin &beta;-glucosidase', 'Protein', 'a protein']	['|AT1G66270|']	[]	[]	[]	['|GO:0005783|']	[]	[]	[]	[]
|TX72_RS06550-MONOMER|	Q7U6N5	['|TAX-84588|']	[]	['PetN', 'cytochrome <i>b<sub>6</sub>f</i> complex subunit PetN', 'Protein', 'a protein']	['|TX72_RS06550|']	[]	['|CPLX1YI0-31|']	[]	['|GO:0055114|', '|GO:0045158|', '|GO:0042651|', '|GO:0022900|', '|GO:0017004|', '|GO:0016021|', '|GO:0016020|', '|GO:0015979|', '|GO:0009579|', '|GO:0009512|', '|GO:0009055|']	[]	[]	[]	[]
|MONOMER-20975|		['|TAX-49450|']	['|ENZRXN-27356|']	['malonyl-CoA:21-hydroxypregnane-21-<i>O</i>-malonyltransferase', 'Protein', 'a protein']	['|G-80501|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-2761|		['|ORG-5927|']	['|ENZRXN-2924|']	['Tpa', 'Protein', 'a protein']	[]	[]	[]	[]	['|GO:0005829|']	[]	[]	[]	[]
|MONOMER-16186|	P45850	['|TAX-4513|']	[]	['germin', 'oxalate oxidase monomer', 'Protein', 'a protein']	['|G-12483|']	[]	['|CPLX-8224|']	[]	[]	[]	[]	[]	[]
|MONOMER-18925|	Q841L0	['|TAX-68214|']	['|ENZRXN-23187|']	['cytosyl-glucuronate synthase', 'BlsD', 'cytosylglucuronic acid synthase', 'Protein', 'a protein']	['|G-34634|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-13660|		['|TAX-1906|']	['|ENZRXN-14575|']	['Fom3', 'Protein', 'a protein']	['|G-10416|']	[]	[]	[]	[]	[]	[]	[]	[]
|YLR438W-MONOMER|	P07991	['|TAX-4932|']	['|ENZRXN-11871|']	['Protein', 'a protein']	['|YLR438W|']	[]	[]	[]	['|GO:0005829|']	[]	[]	[]	[]
|HS08417-MONOMER|	P61421	['|TAX-9606|']	[]	['V-ATPase AC39 subunit', '32 kDa accessory protein', 'V-ATPase subunit d 1', 'V-ATPase 40 kDa accessory protein', 'P39', 'Protein', 'a protein', 'H<sup>+</sup>-translocating V-ATPase subunit d1', 'V-type proton ATPase subunit d 1', 'Vacuolar proton pump subunit d 1']	['|HS08417|']	[]	['|CPLX66-294|']	[]	['|GO:0005765|', '|GO:0005774|', '|GO:0012506|', '|GO:0016787|', '|GO:0003674|', '|GO:0005886|', '|GO:0015078|', '|GO:1902600|']	[]	[]	[]	[]
|MONOMER-16657|	Q0JRK4	['|TAX-227|']	['|ENZRXN-19258|', '|ENZRXN-19257|']	['&lambda;-carrageenase', 'Protein', 'CglA', 'a protein']	['|G-14515|']	[]	[]	[]	['|GO:0005576|']	[]	[]	[]	[]
|ENSG00000110435-MONOMER|	O00330	['|TAX-9606|']	[]	['pyruvate dehydrogenase protein E3 component, mitochondrial', 'lipoyl-containing pyruvate dehydrogenase complex component X', 'E3BP', 'proX', 'dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex', 'Protein', 'a protein', 'E3-binding protein']	['|HS03310|']	[]	['|CPLX66-273|']	[]	['|GO:0008152|', '|GO:0005515|', '|GO:0005739|', '|GO:0016746|', '|GO:0005967|']	[]	[]	[]	[]
|AT2G02050-MONOMER|	Q9SKC9	['|ORG-5993|']	[]	['NADH-ubiquinone oxidoreductase B 18 kDa subunit', 'Protein', 'a protein']	['|AT2G02050|']	[]	['|CPLX-5263|']	[]	[]	[]	[]	[]	[]
|LACTALDDEHYDROG-MONOMER|	P25553	['|TAX-511145|']	[]	['aldehyde dehydrogenase A', 'Ald', 'AldA', 'Protein', 'a protein']	['|EG10035|']	[]	['|ALD-CPLX|']	[]	['|GO:0016620|', '|GO:0009013|', '|GO:0032991|', '|GO:0042802|', '|GO:0005829|', '|GO:0016491|', '|GO:0055114|', '|GO:0019301|', '|GO:0042355|', '|GO:0050569|', '|GO:0008911|', '|GO:0004777|']	[]	[]	[]	[]
|G185E-6483-MONOMER|	P9WPP3	['|TAX-83332|']	['|ENZRXN-24017|', '|ENZRXN-24016|', '|ENZRXN-24015|', '|ENZRXN-24014|', '|ENZRXN-24013|', '|ENZRXN-24012|']	['methyl-branched lipid &omega;-hydroxylase', 'Protein', 'a protein']	['|G185E-6483|']	[]	[]	[]	[]	[]	[]	[]	[]
|UXAC-MONOMER|	P0A8G3	['|TAX-511145|']	['|GLUCUROISOM-ENZRXN|', '|GALACTUROISOM-ENZRXN|']	['YgjX', 'YgjY', 'YgjZ', 'Protein', 'a protein', 'D-glucoronate/D-galacturonate isomerase', 'UxaC']	['|G81|']	[]	[]	[]	['|GO:0005829|', '|GO:0016853|', '|GO:0006064|', '|GO:0019698|', '|GO:0042840|', '|GO:0008880|']	[]	[]	[]	[]
|AT3G55630-MONOMER|		['|ORG-5993|']	['|ENZRXN-9526|', '|ENZRXN-8933|']	['Protein', 'folylpolyglutamate synthetase', 'a protein']	['|AT3G55630|']	[]	[]	[]	['|GO:0005829|']	[]	[]	[]	[]
|MONOMER-5103|		['|TAX-3562|']	['|ENZRXN-5243|']	['Protein', 'L-ascorbate peroxidase (glyoxysomal)', 'a protein']	[]	[]	[]	[]	['|GO:0009514|']	[]	[]	[]	[]
|MONOMER-3191|	P0A102	['|TAX-303|']	[]	['PcaJ', '&beta; subunit of &beta;-ketoadipate succinyl-CoA transferase', 'Protein', 'a protein']	['|G-2291|']	[]	['|CPLX-2722|']	[]	[]	[]	[]	[]	[]
|MONOMER-19634|	B2HIL3	['|TAX-1781|']	['|ENZRXN-24441|', '|ENZRXN-24440|', '|ENZRXN-24388|', '|ENZRXN-24384|']	['(phenol)phthiodiolone ketoreductase', 'Protein', 'a protein']	['|G-44336|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-14175|	Q3A7P1	['|TAX-338963|']	[]	['AcoA', 'acetoin:DCPIP oxidoreductase &alpha; subunit', 'Protein', 'a protein']	['|G-10828|']	[]	['|CPLX-7656|']	[]	[]	[]	[]	[]	[]
|MONOMER-13765|	Q948Q0	['|TAX-3981|']	[]	['rubber allyltransferase', 'rubber polymerase', 'cis-prenyltransferase', 'Protein', 'a protein', 'isopentenyl pyrophosphate cis-1,4-isoprenyl transferase', 'rubber prenyltransferase', 'rubber transferase']	['|G-54973|']	[]	['|CPLX-9166|']	[]	[]	[]	[]	[]	[]
|MONOMER-11570|		['|TAX-5661|']	['|ENZRXN-11892|']	['Protein', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|ATCG00490-MONOMER|	O03042	['|ORG-5993|']	[]	['ribulose bisphosphate carboxylase large chain', 'ribulose-bisphosphate carboxylase/oxygenase large subunit', 'Protein', 'a protein', 'RubisCO large subunit']	['|ATCG00490|']	[]	['|RUBISCO4|', '|RUBISCO3|', '|RUBISCO2|', '|CPLX-805|']	[]	[]	[]	[]	[]	[]
|YOR128C-MONOMER|	P21264	['|TAX-4932|']	['|ENZRXN3O-1566|']	['phosphoribosylaminoimidazole carboxylase', 'Protein', 'a protein', 'AIR carboxylase']	['|YOR128C|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-8125|	O85228	['|TAX-1124983|']	[]	['hydrogen cyanide synthase HcnC subunit', 'Protein', 'HcnC', 'a protein']	['|G-6165|']	[]	['|CPLX-4862|']	[]	[]	[]	[]	[]	[]
|MONOMER-17168|	D5KB58	['|TAX-68895|']	['|ENZRXN-20043|']	['2,5-furan-dicarboxylic acid decarboxylase 1', 'Protein', 'HmfF', 'a protein']	['|G-14960|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-16775|	Q9UWR7	['|TAX-69014|']	['|ENZRXN-25179|', '|ENZRXN-19435|']	['chitinase, containing dual catalytic domains', '<i>Tk</i>-ChiA', 'ChiA', 'Protein', 'a protein']	['|G-14616|']	[]	[]	[]	['|GO:0005576|']	[]	[]	[]	[]
|MONOMER-17601|	Q9ALM8	['|TAX-60894|']	[]	['spinosyn rhamnosyltransferase subunit', 'Protein', 'a protein', 'SpnG']	['|G-15320|']	[]	['|CPLX-8544|']	[]	[]	[]	[]	[]	[]
|G6329-MONOMER|	P77806	['|TAX-511145|']	['|ENZRXN0-7350|']	['YbdL', 'methionine-oxo-acid transaminase, PLP-dependent', 'Protein', 'a protein']	['|G6329|']	[]	[]	[]	['|GO:0097052|', '|GO:0016212|', '|GO:0005829|', '|GO:0005515|', '|GO:0016740|', '|GO:0008483|', '|GO:0003824|', '|GO:0009058|', '|GO:0010326|', '|GO:0030170|', '|GO:0005737|']	[]	[]	[]	[]
|MONOMER-14268|	Q00924	['|TAX-29441|']	['|ENZRXN-15478|']	['HyuE', 'Protein', 'a protein']	['|G-10897|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-20037|	E5KJA6	['|TAX-1969|']	['|ENZRXN-25167|']	['UDP-<i>N</i>-acetyl-tunicamine-uracil synthase', 'TunM', 'Protein', 'a protein']	['|G-44737|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18038|	O81094	['|TAX-63442|']	['|ENZRXN-26228|', '|ENZRXN-23451|', '|ENZRXN-21772|']	['oleoyl-lipid 12-hydroxylase/desaturase', 'Protein', 'a protein']	['|G-16033|']	[]	[]	[]	[]	[]	[]	[]	[]
|ENSG00000139547-MONOMER|	O75452	['|TAX-9606|']	['|ENZRXN-19491|', '|ENZRXN-19490|', '|ENZRXN-19472|', '|ENZRXN-19467|']	['retinol dehydrogenase 16', 'RoDH-4', 'microsomal NAD+-dependent retinol dehydrogenase 4', 'Protein', 'a protein', 'sterol/retinol dehydrogenase']	['|HS06629|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-12153|		['|TAX-3988|']	['|ENZRXN-12761|']	['Protein', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|GAPDH-A-MONOMER|	P0A9B2	['|TAX-511145|']	[]	['glyceraldehyde-3-phosphate dehydrogenase A', 'Gap1', 'GapA', 'Gad', 'Protein', 'a protein']	['|EG10367|']	[]	['|GAPDH-A-CPLX|']	[]	['|GO:0005515|', '|GO:0000166|', '|GO:0005737|', '|GO:0051287|', '|GO:0050661|', '|GO:0016620|', '|GO:0006006|', '|GO:0055114|', '|GO:0005829|', '|GO:0016491|', '|GO:0004365|', '|GO:0006096|']	[]	[]	[]	[]
|MONOMER-19313|	B6SF67	['|TAX-5580|']	['|ENZRXN-23846|', '|ENZRXN-23845|', '|ENZRXN-23844|', '|ENZRXN-23843|', '|ENZRXN-23842|', '|ENZRXN-23841|', '|ENZRXN-23840|', '|ENZRXN-23839|', '|ENZRXN-23838|', '|ENZRXN-23837|']	['Protein', 'aureobasidin A synthetase', 'a protein']	['|G-44023|']	[]	[]	[]	[]	[]	[]	[]	[]
|CYOD-MONOMER|	P0ABJ6	['|TAX-511145|']	[]	['cytochrome <i>bo</i><sub>3</sub> terminal oxidase subunit IV', 'cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit IV', 'cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 4', 'Protein', 'cytochrome o ubiquinol oxidase subunit IV', 'a protein', 'CyoD']	['|EG10181|']	[]	['|CYT-O-UBIOX-CPLX|']	[]	['|GO:0005515|', '|GO:0005887|', '|GO:0009060|', '|GO:0055114|', '|GO:0016491|', '|GO:0016020|', '|GO:0008827|', '|GO:0009319|', '|GO:0015990|', '|GO:0015078|', '|GO:0015453|', '|GO:0019646|', '|GO:0005886|', '|GO:0009486|', '|GO:0016021|', '|GO:0009055|']	[]	[]	[]	[]
|MONOMER-20456|	A0A222FYP8	['|TAX-179636|']	['|ENZRXN-26190|']	['Protein', 'NmpC', 'a protein', '4-methylaminobutanoate oxidase']	['|G-58244|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-17243|	B1YBY5	['|TAX-444157|']	['|ENZRXN-20151|']	['succinyl-CoA reductase', 'Protein', 'Scr', 'a protein']	['|G-15032|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-15218|	B6EP93	['|TAX-316275|']	['|ENZRXN-17228|']	['Protein', 'BibB', 'a protein']	['|G-11648|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-12697|		['|TAX-4151|']	['|ENZRXN-13430|', '|ENZRXN-13427|']	["chalcone 4'-<i>O</i>-glucosyltransferase", 'Protein', 'a protein']	['|G-9743|']	[]	[]	[]	['|GO:0005737|']	[]	[]	[]	[]
|MCRGMAUTO-MONOMER|	O27233	['|TAX-145262|']	[]	['McrG', 'Protein', 'a protein', '&gamma; subunit']	['|G-335|']	[]	['|CPLX-661|']	[]	[]	[]	[]	[]	[]
|PUTP-MONOMER|	P07117	['|TAX-511145|']	['|TRANS-ENZRXN-118|', '|ENZRXN0-7546|']	['proline:Na<sup>+</sup> symporter', 'PutP proline SSS transporter', 'PutP', 'Protein', 'a protein', 'proline permease I', 'PPI', 'PutC']	['|EG10802|']	[]	[]	[]	['|GO:0035524|', '|GO:0022857|', '|GO:0016021|', '|GO:0016020|', '|GO:0015293|', '|GO:0006865|', '|GO:0005886|', '|GO:0055085|', '|GO:0031402|', '|GO:0015912|', '|GO:0005887|', '|GO:0006814|', '|GO:0006811|', '|GO:0005298|', '|GO:0015824|']	[]	[]	[]	[]
|MONOMER-15737|	D5IGG0	['|TAX-411925|']	[]	['carbazole 1,9a-dioxygenase terminal oxygenase component', 'Protein', 'a protein']	['|G-12091|']	[]	['|CPLX-8092|']	[]	[]	[]	[]	[]	[]
|G185E-7818-MONOMER|	I6XHI0	['|TAX-83332|']	[]	['Protein', 'Rv3541c', 'a protein', '3-oxo-23,24-bisnorchol-4,17(20)-dien-22-oyl-CoA hydratase &beta; subunit']	['|G185E-7818|']	[]	['|CPLX-8392|']	[]	[]	[]	[]	[]	[]
|MONOMER-18436|		['|TAX-10116|']	['|ENZRXN-22444|']	['UDP-GlcNAc:GlcNAc &beta; 1-3GalNAc-R &beta; 6-N-acetylglucosaminyltransferase', 'Protein', 'mucin core 4 beta 6-GlcNAc-transferase', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|HS02282-MONOMER|	O14734	['|TAX-9606|']	['|ENZRXN66-5965|', '|ENZRXN66-4355|', '|ENZRXN66-2471|']	['Acyl-coenzyme A thioesterase 8', 'HIV-Nef-associated acyl-CoA thioesterase', 'hTE', 'PTE-1', 'Thioesterase II', 'hACTE-III', 'PTE-2', 'Peroxisomal acyl-coenzyme A thioester hydrolase 1', 'Peroxisomal long-chain acyl-CoA thioesterase 1', 'Protein', 'a protein', 'Acyl-CoA thioesterase 8', 'hACTEIII', 'Choloyl-coenzyme A thioesterase']	['|HS02282|']	[]	[]	[]	['|GO:0052815|', '|GO:0052689|', '|GO:0047617|', '|GO:0045225|', '|GO:0043649|', '|GO:0033882|', '|GO:0016787|', '|GO:0016559|', '|GO:0016290|', '|GO:0016032|', '|GO:0009062|', '|GO:0007031|', '|GO:0006637|', '|GO:0005782|', '|GO:0005777|', '|GO:0005739|', '|GO:0005737|', '|GO:0005515|', '|GO:0005102|', '|GO:0019730|', '|GO:0006629|']	[]	[]	[]	[]
|AT4G17090-MONOMER|	O23553	['|ORG-5993|']	['|ENZRXN-19146|', '|ENZRXN-18953|', '|ENZRXN-18952|', '|ENZRXN-2331|']	['&alpha;-1,4-glucan maltohydrolase', 'Protein', 'a protein', '&beta;-amylase']	['|AT4G17090|']	[]	[]	[]	['|GO:0009570|']	[]	[]	[]	[]
|EG10986-MONOMER|	P05100	['|TAX-511145|']	['|ENZRXN0-6274|']	['3-methyl-adenine DNA glycosylase I, constitutive', 'Tag', 'TagA', 'Protein', 'a protein']	['|EG10986|']	[]	[]	[]	['|GO:0005515|', '|GO:0005829|', '|GO:0006307|', '|GO:0006284|', '|GO:0003824|', '|GO:0046872|', '|GO:0016787|', '|GO:0006974|', '|GO:0008725|', '|GO:0006281|']	[]	[]	[]	[]
|MONOMER-20851|	E5Y946	['|TAX-35833|']	['|ENZRXN-27169|']	['isethionate sulfite-lyase', 'IslA', 'Protein', 'a protein']	['|G-80414|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-553|		['|TAX-4932|']	['|ENZRXN-842|']	['Protein', 'a protein', '&alpha;,&alpha;-trehalose-phosphate synthase (ADP-forming)']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18832|	Q5W247	['|TAX-615|']	['|ENZRXN-23068|', '|ENZRXN-23062|', '|ENZRXN-23059|']	['PigH polyketide synthase', 'PigH', 'Protein', 'a protein']	['|G-34540|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-13205|	Q97U96	['|TAX-2287|']	[]	['D-arabinonate dehydratase subunit', 'AraD', 'Protein', 'a protein']	['|G-10048|']	[]	['|CPLX-7413|']	[]	[]	[]	[]	[]	[]
|MONOMER-19720|	B3EL09	['|TAX-331678|']	['|ENZRXN-24614|', '|ENZRXN-24613|']	['BchQ', 'Protein', 'a protein', 'bacteriochlorophyllide <i>d</i> C-8<sup>2</sup>-methyltransferase']	['|G-44424|']	[]	[]	[]	[]	[]	[]	[]	[]
|HS07394-MONOMER|	Q9NS84	['|TAX-9606|']	['|ENZRXN66-3084|']	['C6ST-2', 'Galactose/<i>N</i>-acetylglucosamine/<i>N</i>-acetylglucosamine 6-<i>O</i>-sulfotransferase 5', 'carbohydrate sulfotransferase 7', 'chondroitin 6-sulfotransferase 2', 'GST-5', '<i>N</i>-acetylglucosamine 6-<i>O</i>-sulfotransferase 1', 'GlcNAc6ST-4', 'Protein', 'a protein']	['|HS07394|']	[]	[]	[]	[]	[]	[]	[]	[]
|AT1G62560-MONOMER|	Q9SXE1	['|ORG-5993|']	['|ENZRXNQT-12530|', '|ENZRXNQT-12527|', '|ENZRXNQT-12524|', '|ENZRXNQT-12522|', '|ENZRXNQT-12518|']	['glucosinolate <i>S</i>-oxygenase 3', 'Protein', 'a protein']	['|AT1G62560|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-11653|		['|TAX-86668|']	['|ENZRXN-12005|']	['Protein', 'nicotinic acid hydroxylase', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|TX72_RS01330-MONOMER|	Q7U9J0	['|TAX-84588|']	[]	['PsbI', 'Protein', 'a protein', 'photosystem II reaction center protein I']	['|TX72_RS01330|']	[]	['|CPLX1YI0-75|']	[]	['|GO:0042651|', '|GO:0016021|', '|GO:0016020|', '|GO:0015979|', '|GO:0009579|', '|GO:0009539|', '|GO:0009523|']	[]	[]	[]	[]
|MONOMER-2602|	Q40412	['|TAX-4092|']	['|ENZRXN-12751|', '|ENZRXN-12750|']	['zeaxanthin epoxidase', 'Protein', 'a protein']	['|G-1801|']	[]	[]	[]	['|GO:0009507|']	[]	[]	[]	[]
|BETALAC-MONOMER|	G3KIM3	['|TAX-28446|']	[]	['lactoyl-CoA dehydratase &beta; subunit', 'Protein', 'LcdB', 'a protein']	['|G-15285|']	[]	['|CPLX-243|']	[]	[]	[]	[]	[]	[]
|MONOMER-16165|	Q56295	['|TAX-920|']	[]	['CoxC', 'Protein', 'aa3-type cytochrome oxidase &gamma; subunit', 'a protein']	['|G-12466|']	[]	['|CPLX-8217|']	[]	[]	[]	[]	[]	[]
|MONOMER-13641|	Q1KSC5	['|TAX-4081|']	['|ENZRXN-14538|']	['Protein', 'a protein']	['|G-10397|']	[]	[]	[]	[]	[]	[]	[]	[]
